"scenario","network","pattern","ipd","n_arm","spread","method","par","declined","failed","width","n_attempted","convergence","convergence_mcse","bias","bias_mcse","empse","empse_mcse","mse","mse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","coverage","coverage_mcse","becoverage","becoverage_mcse","rejection","rejection_mcse","n_used","truth","coverage_uncond","cov_err_pp","std_bias"
145,"bundled","rho1","four",100,"narrow","shared-info","gWB",0,0,1.20251875801017,2000,1,0,-0.00422758959625646,0.00715690202802304,0.320066388859313,0.00506195960442975,0.102409144544596,0.00328927727996283,0.307235473489928,0.00038251094702736,-4.00882936040654,1.52282999219599,0.9435,0.00516273909857936,0.945,0.00509779364038993,0.2265,0.00935942706579842,2000,-0.356675,0.9435,-0.649999999999995,-0.0132084771891332
145,"bundled","rho1","four",100,"narrow","shared-sandwich","gWA",0,0,0.942940238218864,2000,1,0,0.00961888098908686,0.00686590622328182,0.30705266084794,0.00485614303702517,0.0943267187370154,0.0029176106111165,0.257351949419163,0.00223257785191074,-16.18638030738,1.51186397620633,0.82,0.00859069263796581,0.8205,0.00858136789795193,0.4575,0.0111398776923268,2000,0.405465,0.82,-13,0.0313264863509858
145,"bundled","rho1","four",100,"narrow","shared-sandwich","gWB",0,0,0.846491776132546,2000,1,0,-0.00422758959625646,0.00715690202802304,0.320066388859313,0.00506195960442975,0.102409144544596,0.00328927727996283,0.232367228811255,0.00209500431986822,-27.4003029060967,1.32165724482364,0.7685,0.0094315361951275,0.7655,0.00947390494991374,0.4505,0.0111254157225697,2000,-0.356675,0.7685,-18.15,-0.0132084771891332
146,"bundled","rho1","four",100,"wide","ipd-anchored","gWA",0,0,1.40420933322357,2000,1,0,0.0060182275546925,0.00815485432054257,0.364696172146821,0.0057677949186624,0.132973015392454,0.00429915592312046,0.359802597902951,0.000795109810193456,-1.34182221191507,1.57547101715348,0.9475,0.00498717104178311,0.9475,0.00498717104178311,0.2115,0.00913147715323211,2000,0.405465,0.9475,-0.249999999999995,0.0165020310448163
146,"bundled","rho1","four",100,"wide","ipd-anchored","gWB",0,0,1.39819542337551,2000,1,0,0.00296403554833624,0.00806386378513672,0.360626951697289,0.00570343880301259,0.129995557898066,0.0043383243597646,0.358141572462984,0.00074887638825282,-0.689182886250839,1.58430285733458,0.9515,0.00480352734977121,0.951,0.00482695556225661,0.1705,0.00840921369689224,2000,-0.356675,0.9515,0.150000000000006,0.00821911821727694
146,"bundled","rho1","four",100,"wide","joint-split","gWA",0,0,1.38974389589295,2000,1,0,0.00337629162717062,0.0080488773472826,0.359956737821641,0.00569283914093326,0.129515468021798,0.0041711971239359,0.356052474571096,0.000774305920433046,-1.08464791468366,1.57910038651615,0.9505,0.0048502448391808,0.951,0.00482695556225661,0.214,0.00917071425789726,2000,0.405465,0.9505,0.0500000000000056,0.00937971503909888
146,"bundled","rho1","four",100,"wide","joint-split","gWB",0,0,1.38387557387587,2000,1,0,0.0052827441773568,0.00792910681340352,0.35460043671254,0.00560812740365881,0.125706506367909,0.00414182872523805,0.354455508339461,0.000736351229255075,-0.0408708952597037,1.59446785536967,0.953,0.00473238840333293,0.953,0.00473238840333293,0.1715,0.00842875287334965,2000,-0.356675,0.953,0.3,0.0148977373697915
146,"bundled","rho1","four",100,"wide","shared-info","gWA",0,0,1.02437150395794,2000,1,0,0.00174835735708068,0.00590772880803996,0.264201664148223,0.00417843984214561,0.0697706748324693,0.00222148810834926,0.261838517230139,0.000382332876029256,-0.894448157888261,1.57405453107709,0.95,0.00487339717240448,0.95,0.00487339717240448,0.352,0.0106793258214178,2000,0.405465,0.95,0,0.00661751076669907
146,"bundled","rho1","four",100,"wide","shared-info","gWB",0,0,1.16404255794076,2000,1,0,0.00185994802033457,0.00670246026226795,0.299743135258444,0.00474054038535831,0.0898044835676333,0.00277139934454343,0.297719314716711,0.000488870474253954,-0.675184951271202,1.57930015325528,0.9545,0.00465992220965114,0.955,0.00463546114210873,0.2295,0.0094029184299344,2000,-0.356675,0.9545,0.450000000000006,0.00620513967311006
146,"bundled","rho1","four",100,"wide","shared-sandwich","gWA",0,0,0.854677079335781,2000,1,0,0.00174835735708068,0.00590772880803996,0.264201664148223,0.00417843984214561,0.0697706748324693,0.00222148810834926,0.227757531878779,0.00159028859697694,-13.7940585601299,1.49033750394479,0.8595,0.0077704488287357,0.8605,0.00774724951192357,0.4775,0.0111690140567554,2000,0.405465,0.8595,-9.04999999999999,0.00661751076669907
146,"bundled","rho1","four",100,"wide","shared-sandwich","gWB",0,0,0.861627262052681,2000,1,0,0.00185994802033457,0.00670246026226795,0.299743135258444,0.00474054038535831,0.0898044835676333,0.00277139934454343,0.232695269777446,0.00187024589081074,-22.368440706136,1.37721874725696,0.8105,0.00876326851123484,0.8115,0.00874550598879219,0.4395,0.0110981924203899,2000,-0.356675,0.8105,-13.95,0.00620513967311006
147,"bundled","rho1","four",400,"narrow","ipd-anchored","gWA",0,0,0.620891973510981,2000,1,0,0.000687874927611076,0.00353050375928938,0.157888928011792,0.00249706749412452,0.0249169223038346,0.000780577955290799,0.158549499682893,0.000158051134438484,0.418377450159979,1.59130270588613,0.9505,0.0048502448391808,0.951,0.00482695556225661,0.734,0.00988038460789862,2000,0.405465,0.9505,0.0500000000000056,0.00435670148802139
147,"bundled","rho1","four",400,"narrow","ipd-anchored","gWB",0,0,0.614399418362081,2000,1,0,-0.000998610575578429,0.00358566908054893,0.160355996178532,0.00253608502247518,0.0257021857107357,0.000788604139836187,0.156875502346282,0.000147986643763738,-2.17047938037499,1.54995724647969,0.9475,0.00498717104178311,0.9465,0.00503178646208283,0.625,0.0108253175473055,2000,-0.356675,0.9475,-0.249999999999995,-0.00622746014727526
147,"bundled","rho1","four",400,"narrow","joint-split","gWA",0,0,0.616944435572611,2000,1,0,0.000714869717444055,0.0035131204977931,0.157111524924265,0.002484772597933,0.024672200287109,0.000779858959624736,0.157536882950986,0.000154734581433526,0.270736361909396,1.58887137848719,0.95,0.00487339717240448,0.9495,0.00489641450451246,0.742,0.00978355763513457,2000,0.405465,0.95,0,0.00455007815491991
147,"bundled","rho1","four",400,"narrow","joint-split","gWB",0,0,0.609613069185,2000,1,0,-0.00116491204536029,0.00355886786003819,0.159157409159692,0.00251712895809934,0.0253197723700538,0.000785826409187337,0.155650612568449,0.000145345897246134,-2.20335114133758,1.54938116036435,0.945,0.00509779364038993,0.945,0.00509779364038993,0.629,0.0108018285489078,2000,-0.356675,0.945,-0.5,-0.00731924483761522
147,"bundled","rho1","four",400,"narrow","shared-info","gWA",0,0,0.586401611324498,2000,1,0,-0.0011962530135064,0.00328741637723057,0.147017729796673,0.0023251357695445,0.0216048367894026,0.000702183492521518,0.149720632825443,0.000137935584553751,1.83848780178315,1.61334096774635,0.95,0.00487339717240448,0.95,0.00487339717240448,0.786,0.00917071425789726,2000,0.405465,0.95,0,-0.00813679421632226
147,"bundled","rho1","four",400,"narrow","shared-info","gWB",0,0,0.594354090516377,2000,1,0,-0.00110225781259221,0.00350073874758655,0.15655779622142,0.00247601518877297,0.0244993033582143,0.000768028799750505,0.151745567727737,0.000136740334012728,-3.07377122687466,1.53540775144761,0.9445,0.00511955808639769,0.945,0.00509779364038993,0.646,0.0106930818756802,2000,-0.356675,0.9445,-0.549999999999995,-0.00704058078994216
147,"bundled","rho1","four",400,"narrow","shared-sandwich","gWA",0,0,0.466561340905081,2000,1,0,-0.0011962530135064,0.00328741637723057,0.147017729796673,0.0023251357695445,0.0216048367894026,0.000702183492521518,0.127175832884848,0.00107632418091115,-13.4962612599629,1.55165646813457,0.8355,0.0082897451709929,0.838,0.00823881059376898,0.85,0.00798435971133566,2000,0.405465,0.8355,-11.45,-0.00813679421632226
147,"bundled","rho1","four",400,"narrow","shared-sandwich","gWB",0,0,0.418700675539306,2000,1,0,-0.00110225781259221,0.00350073874758655,0.15655779622142,0.00247601518877297,0.0244993033582143,0.000768028799750505,0.115299999869551,0.00108582690015905,-26.3530768493435,1.35560880699777,0.7635,0.00950178272746752,0.765,0.00948090185583629,0.7955,0.00901886217878952,2000,-0.356675,0.7635,-18.65,-0.00704058078994216
148,"bundled","rho1","four",400,"wide","ipd-anchored","gWA",0,0,0.694153745876348,2000,1,0,-0.00176199088522067,0.00386419244325096,0.172811939625003,0.00273308003587164,0.0298521391055967,0.000979914004322909,0.177668212737434,0.000330595361072706,2.8101490689642,1.63719291312212,0.9495,0.00489641450451246,0.95,0.00487339717240448,0.6345,0.0107682345349644,2000,0.405465,0.9495,-0.0499999999999945,-0.010196002018403
148,"bundled","rho1","four",400,"wide","ipd-anchored","gWB",0,0,0.691342830613149,2000,1,0,-0.000776351143162546,0.00390465586629334,0.174621518915505,0.00276169915236862,0.0304780312520212,0.000988449033461093,0.176905529319314,0.000315125797300687,1.30797762955837,1.6123513065749,0.9525,0.00475624589355933,0.9535,0.00470838348055891,0.5405,0.0111436024247099,2000,-0.356675,0.9525,0.250000000000006,-0.00444590762916342
148,"bundled","rho1","four",400,"wide","joint-split","gWA",0,0,0.688698480702533,2000,1,0,-0.00198468304606919,0.0038396722475692,0.171715363137682,0.00271573730300374,0.0294753618213308,0.000961197148609295,0.176256598198966,0.000323083751179862,2.64462944858477,1.63422713961761,0.9505,0.0048502448391808,0.9505,0.0048502448391808,0.644,0.0107066334578148,2000,0.405465,0.9505,0.0500000000000056,-0.0115579818241298
148,"bundled","rho1","four",400,"wide","joint-split","gWB",0,0,0.686219147806025,2000,1,0,-0.00117035065233978,0.00387460523559401,0.173277613855296,0.00274044483337809,0.0300114886183029,0.0009654794945129,0.175585987099434,0.000310451277280215,1.33218203596996,1.61258696578749,0.9525,0.00475624589355933,0.953,0.00473238840333293,0.551,0.0111220276928265,2000,-0.356675,0.9525,0.250000000000006,-0.00675419418758351
148,"bundled","rho1","four",400,"wide","shared-info","gWA",0,0,0.507095070364123,2000,1,0,-7.29453372148581e-05,0.00285898774582658,0.127857818930142,0.00202211521441372,0.0163394533716645,0.000490549766428958,0.129515004879101,0.00014175052047362,1.29611623506869,1.60586433377478,0.955,0.00463546114210873,0.955,0.00463546114210873,0.884,0.00716044691342656,2000,0.405465,0.955,0.5,-0.000570519173760607
148,"bundled","rho1","four",400,"wide","shared-info","gWB",0,0,0.576489007998939,2000,1,0,-0.00117072047011085,0.00321332694360814,0.143704349596789,0.00227273352641705,0.0206419852094087,0.00068042048109182,0.147345702987043,0.000205429455694249,2.53392009390929,1.62789788262707,0.954,0.00468422885862764,0.9545,0.00465992220965114,0.6935,0.0103091646121303,2000,-0.356675,0.954,0.4,-0.0081467295415602
148,"bundled","rho1","four",400,"wide","shared-sandwich","gWA",0,0,0.427891934946589,2000,1,0,-7.29453372148581e-05,0.00285898774582658,0.127857818930142,0.00202211521441372,0.0163394533716645,0.000490549766428958,0.113927452417939,0.000784400002978262,-10.8952011138357,1.536972379684,0.8615,0.00772391578151911,0.862,0.00771219813023499,0.907,0.00649426670225361,2000,0.405465,0.8615,-8.84999999999999,-0.000570519173760607
148,"bundled","rho1","four",400,"wide","shared-sandwich","gWB",0,0,0.428088528694665,2000,1,0,-0.00117072047011085,0.00321332694360814,0.143704349596789,0.00227273352641705,0.0206419852094087,0.00068042048109182,0.11532370396951,0.00088220588222852,-19.7493295832101,1.40986713170303,0.8145,0.00869165548097714,0.815,0.0086825975376036,0.8125,0.00872765002735559,2000,-0.356675,0.8145,-13.55,-0.0081467295415602
149,"bundled","rho1","four-low",100,"narrow","ipd-anchored","gWA",0,0,1.20596529467107,2000,1,0,-0.00268155201399589,0.00684510575213511,0.306122435498979,0.00484143120440744,0.0936712807642722,0.00307029445579505,0.308066820742036,0.00036171667639219,0.635165874035826,1.59595980114379,0.9505,0.0048502448391808,0.952,0.00477995815881269,0.2535,0.00972722339622155,2000,0.405465,0.9505,0.0500000000000056,-0.00875973696480289
149,"bundled","rho1","four-low",100,"narrow","ipd-anchored","gWB",0,0,1.20085808672366,2000,1,0,0.000952425308918092,0.00697407818486702,0.31189025803522,0.00493265129405205,0.0972278024047163,0.00325002212035367,0.306760663832684,0.000360120744878254,-1.64467920057861,1.55980256034329,0.9475,0.00498717104178311,0.9475,0.00498717104178311,0.2035,0.00900243717001124,2000,-0.356675,0.9475,-0.249999999999995,0.00305371932716969
149,"bundled","rho1","four-low",100,"narrow","joint-split","gWA",0,0,1.1958489675586,2000,1,0,-0.00157636358222796,0.00678300253467247,0.30334509518162,0.00479750661568594,0.0919747225695042,0.00304300006227454,0.305455898159111,0.000346570486041733,0.695842131954438,1.59663214673231,0.948,0.00496467521596328,0.948,0.00496467521596328,0.252,0.00970814091368682,2000,0.405465,0.948,-0.2,-0.00519660151842623
149,"bundled","rho1","four-low",100,"narrow","joint-split","gWB",0,0,1.18941581628626,2000,1,0,0.000625369740819504,0.00693624991503984,0.310198526379124,0.00490589597827144,0.0961754052922089,0.00320837464641931,0.303822204709461,0.000350310562238255,-2.05556156055692,1.55313599672247,0.9445,0.00511955808639769,0.9445,0.00511955808639769,0.209,0.00909172700866013,2000,-0.356675,0.9445,-0.549999999999995,0.0020160306630702
