"scenario","nS","nT","d","em_sd","kappa","rho_T","method","reference","cov_diff","cov_diff_mcse","discordant","n"
39,500,200,0.8,0.9,0.5,0.3,"reported-cov","joint-score",0.00559999999999994,0.00109257860129146,30,5000
40,500,200,0.8,0.9,0.5,0.6,"target-fixed","joint-score",-0.00980000000000003,0.00142154563767752,51,5000
40,500,200,0.8,0.9,0.5,0.6,"normal-recon","joint-score",0.00659999999999994,0.00124550712563197,39,5000
40,500,200,0.8,0.9,0.5,0.6,"reported-cov","joint-score",0.00519999999999998,0.00112897829917142,32,5000
41,500,200,0.8,0.9,1,0.3,"target-fixed","joint-score",-0.000400000000000067,0.00113135670767446,32,5000
41,500,200,0.8,0.9,1,0.3,"normal-recon","joint-score",0.0122,0.00155249218999646,61,5000
41,500,200,0.8,0.9,1,0.3,"reported-cov","joint-score",0.0122,0.00157804689410676,63,5000
42,500,200,0.8,0.9,1,0.6,"target-fixed","joint-score",-0.00339999999999996,0.00111251426957141,31,5000
42,500,200,0.8,0.9,1,0.6,"normal-recon","joint-score",0.0108,0.0015154774825117,58,5000
42,500,200,0.8,0.9,1,0.6,"reported-cov","joint-score",0.0104,0.00148941867854543,56,5000
43,500,500,0,0,0,0.3,"target-fixed","joint-score",-0.000599999999999934,0.000346306222872186,3,5000
43,500,500,0,0,0,0.3,"normal-recon","joint-score",0.000200000000000089,0.0001999799989999,1,5000
43,500,500,0,0,0,0.3,"reported-cov","joint-score",0.000200000000000089,0.0001999799989999,1,5000
44,500,500,0,0,0,0.6,"target-fixed","joint-score",-0.000200000000000089,0.000346398614315935,3,5000
44,500,500,0,0,0,0.6,"normal-recon","joint-score",0.000199999999999978,0.000346398614315935,3,5000
44,500,500,0,0,0,0.6,"reported-cov","joint-score",0.000399999999999956,0.0003999599979998,4,5000
45,500,500,0,0.45,0,0.3,"target-fixed","joint-score",-0.003,0.00077343390150678,15,5000
45,500,500,0,0.45,0,0.3,"normal-recon","joint-score",0.000599999999999934,0.000529082224233625,7,5000
45,500,500,0,0.45,0,0.3,"reported-cov","joint-score",0.001,0.000528961246217528,7,5000
46,500,500,0,0.45,0,0.6,"target-fixed","joint-score",-0.003,0.00077343390150678,15,5000
46,500,500,0,0.45,0,0.6,"normal-recon","joint-score",0.000400000000000067,0.000489865287604664,6,5000
46,500,500,0,0.45,0,0.6,"reported-cov","joint-score",0,0.000489897948556636,6,5000
47,500,500,0,0.45,0.5,0.3,"target-fixed","joint-score",-0.001,0.00044698993277254,5,5000
47,500,500,0,0.45,0.5,0.3,"normal-recon","joint-score",0.00259999999999994,0.000773723464811557,15,5000
47,500,500,0,0.45,0.5,0.3,"reported-cov","joint-score",0.00259999999999994,0.000720172201629583,13,5000
48,500,500,0,0.45,0.5,0.6,"target-fixed","joint-score",-0.00119999999999998,0.000489603921552922,6,5000
48,500,500,0,0.45,0.5,0.6,"normal-recon","joint-score",0.00380000000000003,0.000870121830550182,19,5000
48,500,500,0,0.45,0.5,0.6,"reported-cov","joint-score",0.00339999999999996,0.0008232180756033,17,5000
49,500,500,0,0.45,1,0.3,"target-fixed","joint-score",0.000800000000000023,0.000565572276548276,8,5000
49,500,500,0,0.45,1,0.3,"normal-recon","joint-score",0.00380000000000003,0.000870121830550182,19,5000
49,500,500,0,0.45,1,0.3,"reported-cov","joint-score",0.004,0.000892636544176856,20,5000
50,500,500,0,0.45,1,0.6,"target-fixed","joint-score",0.00160000000000005,0.000799679935974387,16,5000
50,500,500,0,0.45,1,0.6,"normal-recon","joint-score",0.005,0.000997496867163,25,5000
50,500,500,0,0.45,1,0.6,"reported-cov","joint-score",0.00460000000000005,0.000956957679315026,23,5000
51,500,500,0,0.9,0,0.3,"target-fixed","joint-score",-0.00980000000000003,0.00139312311013779,49,5000
51,500,500,0,0.9,0,0.3,"normal-recon","joint-score",0.000400000000000067,0.000565657139970849,8,5000
51,500,500,0,0.9,0,0.3,"reported-cov","joint-score",0.000600000000000045,0.000447133089806603,5,5000
52,500,500,0,0.9,0,0.6,"target-fixed","joint-score",-0.0112,0.00148825804214189,56,5000
52,500,500,0,0.9,0,0.6,"normal-recon","joint-score",0.00120000000000009,0.000748139024513492,14,5000
52,500,500,0,0.9,0,0.6,"reported-cov","joint-score",-0.001,0.000599833310178753,9,5000
53,500,500,0,0.9,0.5,0.3,"target-fixed","joint-score",-0.002,0.000979387563735623,24,5000
53,500,500,0,0.9,0.5,0.3,"normal-recon","joint-score",0.00639999999999996,0.00112774465194919,32,5000
53,500,500,0,0.9,0.5,0.3,"reported-cov","joint-score",0.00679999999999992,0.00116221856808433,34,5000
54,500,500,0,0.9,0.5,0.6,"target-fixed","joint-score",-0.00339999999999996,0.000957960333208009,23,5000
54,500,500,0,0.9,0.5,0.6,"normal-recon","joint-score",0.00540000000000007,0.00103642076397571,27,5000
54,500,500,0,0.9,0.5,0.6,"reported-cov","joint-score",0.00460000000000005,0.000956957679315026,23,5000
55,500,500,0,0.9,1,0.3,"target-fixed","joint-score",0.00520000000000009,0.00101714895664303,26,5000
55,500,500,0,0.9,1,0.3,"normal-recon","joint-score",0.0106000000000001,0.00144828450243728,53,5000
55,500,500,0,0.9,1,0.3,"reported-cov","joint-score",0.0106000000000001,0.00144828450243728,53,5000
56,500,500,0,0.9,1,0.6,"target-fixed","joint-score",0.00360000000000005,0.000846999409681022,18,5000
56,500,500,0,0.9,1,0.6,"normal-recon","joint-score",0.0114000000000001,0.00150133540556399,57,5000
56,500,500,0,0.9,1,0.6,"reported-cov","joint-score",0.011,0.00147505932084103,55,5000
57,500,500,0.4,0,0,0.3,"target-fixed","joint-score",-0.00139999999999996,0.000528779727296726,7,5000
57,500,500,0.4,0,0,0.3,"normal-recon","joint-score",0.000199999999999978,0.0001999799989999,1,5000
57,500,500,0.4,0,0,0.3,"reported-cov","joint-score",0,0.000282842712474619,2,5000
58,500,500,0.4,0,0,0.6,"target-fixed","joint-score",-0.000800000000000023,0.000399839967987194,4,5000
58,500,500,0.4,0,0,0.6,"normal-recon","joint-score",0.000199999999999978,0.000346398614315935,3,5000
58,500,500,0.4,0,0,0.6,"reported-cov","joint-score",-0.000199999999999978,0.000346398614315935,3,5000
59,500,500,0.4,0.45,0,0.3,"target-fixed","joint-score",-0.00459999999999994,0.000956957679315026,23,5000
59,500,500,0.4,0.45,0,0.3,"normal-recon","joint-score",0.000200000000000089,0.000447204651138603,5,5000
59,500,500,0.4,0.45,0,0.3,"reported-cov","joint-score",0.000200000000000089,0.000447204651138603,5,5000
60,500,500,0.4,0.45,0,0.6,"target-fixed","joint-score",-0.00380000000000003,0.000870121830550182,19,5000
60,500,500,0.4,0.45,0,0.6,"normal-recon","joint-score",-0.000800000000000023,0.000489767291680447,6,5000
60,500,500,0.4,0.45,0,0.6,"reported-cov","joint-score",-0.000600000000000045,0.000447133089806603,5,5000
61,500,500,0.4,0.45,0.5,0.3,"target-fixed","joint-score",-0.00219999999999998,0.000720438755204077,13,5000
61,500,500,0.4,0.45,0.5,0.3,"normal-recon","joint-score",0.001,0.000528961246217528,7,5000
61,500,500,0.4,0.45,0.5,0.3,"reported-cov","joint-score",0.00119999999999998,0.000565430809206573,8,5000
62,500,500,0.4,0.45,0.5,0.6,"target-fixed","joint-score",-0.002,0.000631822759957253,10,5000
62,500,500,0.4,0.45,0.5,0.6,"normal-recon","joint-score",0.00179999999999991,0.000599459756781054,9,5000
62,500,500,0.4,0.45,0.5,0.6,"reported-cov","joint-score",0.00159999999999993,0.000565232695444982,8,5000
63,500,500,0.4,0.45,1,0.3,"target-fixed","joint-score",-0.000600000000000045,0.000663270683808654,11,5000
63,500,500,0.4,0.45,1,0.3,"normal-recon","joint-score",0.00259999999999994,0.000720172201629583,13,5000
63,500,500,0.4,0.45,1,0.3,"reported-cov","joint-score",0.00259999999999994,0.000720172201629583,13,5000
64,500,500,0.4,0.45,1,0.6,"target-fixed","joint-score",-0.000399999999999956,0.00063243023330641,10,5000
64,500,500,0.4,0.45,1,0.6,"normal-recon","joint-score",0.00219999999999998,0.000720438755204077,13,5000
64,500,500,0.4,0.45,1,0.6,"reported-cov","joint-score",0.00219999999999998,0.000720438755204077,13,5000
65,500,500,0.4,0.9,0,0.3,"target-fixed","joint-score",-0.00860000000000005,0.00130583613060751,43,5000
65,500,500,0.4,0.9,0,0.3,"normal-recon","joint-score",-0.000200000000000089,0.000447204651138603,5,5000
65,500,500,0.4,0.9,0,0.3,"reported-cov","joint-score",-0.000200000000000089,0.000447204651138603,5,5000
66,500,500,0.4,0.9,0,0.6,"target-fixed","joint-score",-0.00779999999999992,0.00124411896537268,39,5000
66,500,500,0.4,0.9,0,0.6,"normal-recon","joint-score",0.00160000000000005,0.000632050630883318,10,5000
66,500,500,0.4,0.9,0,0.6,"reported-cov","joint-score",0.000400000000000067,0.000489865287604664,6,5000
67,500,500,0.4,0.9,0.5,0.3,"target-fixed","joint-score",-0.00260000000000005,0.000871004018360421,19,5000
67,500,500,0.4,0.9,0.5,0.3,"normal-recon","joint-score",0.00359999999999994,0.000846999409681022,18,5000
67,500,500,0.4,0.9,0.5,0.3,"reported-cov","joint-score",0.00379999999999991,0.000870121830550182,19,5000
68,500,500,0.4,0.9,0.5,0.6,"target-fixed","joint-score",-0.00220000000000009,0.000720438755204077,13,5000
68,500,500,0.4,0.9,0.5,0.6,"normal-recon","joint-score",0.00719999999999998,0.00119567219587979,36,5000
68,500,500,0.4,0.9,0.5,0.6,"reported-cov","joint-score",0.00619999999999998,0.00111009549138802,31,5000
69,500,500,0.4,0.9,1,0.3,"target-fixed","joint-score",0.00259999999999994,0.000720172201629583,13,5000
69,500,500,0.4,0.9,1,0.3,"normal-recon","joint-score",0.00539999999999996,0.00103642076397571,27,5000
69,500,500,0.4,0.9,1,0.3,"reported-cov","joint-score",0.00559999999999994,0.00105533312276267,28,5000
70,500,500,0.4,0.9,1,0.6,"target-fixed","joint-score",0.000199999999999978,0.000529142702869462,7,5000
70,500,500,0.4,0.9,1,0.6,"normal-recon","joint-score",0.00839999999999996,0.00129069283720024,42,5000
70,500,500,0.4,0.9,1,0.6,"reported-cov","joint-score",0.00700000000000001,0.00117906742809731,35,5000
71,500,500,0.8,0,0,0.3,"target-fixed","joint-score",-0.00380000000000003,0.000914938249282431,21,5000
71,500,500,0.8,0,0,0.3,"normal-recon","joint-score",0.000199999999999978,0.000447204651138603,5,5000
71,500,500,0.8,0,0,0.3,"reported-cov","joint-score",0.000199999999999978,0.000447204651138603,5,5000
72,500,500,0.8,0,0,0.6,"target-fixed","joint-score",-0.00319999999999998,0.000798718974358316,16,5000
72,500,500,0.8,0,0,0.6,"normal-recon","joint-score",0,0.000489897948556636,6,5000
72,500,500,0.8,0,0,0.6,"reported-cov","joint-score",0.000199999999999978,0.000529142702869462,7,5000
73,500,500,0.8,0.45,0,0.3,"target-fixed","joint-score",-0.005,0.000997496867163,25,5000
73,500,500,0.8,0.45,0,0.3,"normal-recon","joint-score",0.000400000000000067,0.00069279722863187,12,5000
73,500,500,0.8,0.45,0,0.3,"reported-cov","joint-score",-0.000199999999999978,0.000663318927816778,11,5000
74,500,500,0.8,0.45,0,0.6,"target-fixed","joint-score",-0.00679999999999992,0.00116221856808433,34,5000
74,500,500,0.8,0.45,0,0.6,"normal-recon","joint-score",-0.000599999999999934,0.0005999399969997,9,5000
74,500,500,0.8,0.45,0,0.6,"reported-cov","joint-score",-0.000599999999999934,0.000529082224233625,7,5000
75,500,500,0.8,0.45,0.5,0.3,"target-fixed","joint-score",-0.003,0.00077343390150678,15,5000
75,500,500,0.8,0.45,0.5,0.3,"normal-recon","joint-score",0.000400000000000067,0.0003999599979998,4,5000
75,500,500,0.8,0.45,0.5,0.3,"reported-cov","joint-score",0,0.000282842712474619,2,5000
76,500,500,0.8,0.45,0.5,0.6,"target-fixed","joint-score",-0.00659999999999994,0.00114511484140238,33,5000
76,500,500,0.8,0.45,0.5,0.6,"normal-recon","joint-score",-0.000399999999999956,0.00069279722863187,12,5000
76,500,500,0.8,0.45,0.5,0.6,"reported-cov","joint-score",0.000800000000000023,0.000632354331051824,10,5000
77,500,500,0.8,0.45,1,0.3,"target-fixed","joint-score",-0.00380000000000003,0.000957659647265144,23,5000
77,500,500,0.8,0.45,1,0.3,"normal-recon","joint-score",0.00119999999999998,0.000937929634887394,22,5000
77,500,500,0.8,0.45,1,0.3,"reported-cov","joint-score",0.000800000000000023,0.00089435563396224,20,5000
78,500,500,0.8,0.45,1,0.6,"target-fixed","joint-score",-0.00319999999999998,0.000893281590541303,20,5000
78,500,500,0.8,0.45,1,0.6,"normal-recon","joint-score",0.00380000000000003,0.000957659647265144,23,5000
78,500,500,0.8,0.45,1,0.6,"reported-cov","joint-score",0.00359999999999994,0.000978472278605786,24,5000
79,500,500,0.8,0.9,0,0.3,"target-fixed","joint-score",-0.00960000000000005,0.00137897353129058,48,5000
79,500,500,0.8,0.9,0,0.3,"normal-recon","joint-score",0,0.000489897948556636,6,5000
79,500,500,0.8,0.9,0,0.3,"reported-cov","joint-score",-0.000400000000000067,0.000489865287604664,6,5000
80,500,500,0.8,0.9,0,0.6,"target-fixed","joint-score",-0.0105999999999999,0.00144828450243728,53,5000
80,500,500,0.8,0.9,0,0.6,"normal-recon","joint-score",0.000400000000000067,0.00063243023330641,10,5000
80,500,500,0.8,0.9,0,0.6,"reported-cov","joint-score",-0.000399999999999956,0.000282786138274138,2,5000
81,500,500,0.8,0.9,0.5,0.3,"target-fixed","joint-score",-0.00679999999999992,0.00116221856808433,34,5000
81,500,500,0.8,0.9,0.5,0.3,"normal-recon","joint-score",0.00460000000000005,0.000997881756522285,25,5000
81,500,500,0.8,0.9,0.5,0.3,"reported-cov","joint-score",0.00420000000000009,0.000957325441007393,23,5000
82,500,500,0.8,0.9,0.5,0.6,"target-fixed","joint-score",-0.00559999999999994,0.00105533312276267,28,5000
82,500,500,0.8,0.9,0.5,0.6,"normal-recon","joint-score",0.00280000000000002,0.000799019399013566,16,5000
82,500,500,0.8,0.9,0.5,0.6,"reported-cov","joint-score",0.00220000000000009,0.000720438755204077,13,5000
83,500,500,0.8,0.9,1,0.3,"target-fixed","joint-score",-0.00160032006401278,0.000894319735163373,20,4999
