"a","b","c","bias","pop","bridge","scale"
0.2,0.2,-1,-0.00322492531867052,-0.0126374206215437,0.00941249530287319,0.5
0.3,0.2,-1,-0.00624098305854112,-0.0189454456481798,0.0127044625896386,0.5
0.4,0.2,-1,-0.00925328297711808,-0.0252467375323774,0.0159934545552594,0.5
0.5,0.2,-1,-0.0122619370698803,-0.0315415905786613,0.019279653508781,0.5
0.6,0.2,-1,-0.0152670578324589,-0.0378303002422392,0.0225632424097804,0.5
0.7,0.2,-1,-0.0182687582450496,-0.044113163074925,0.0258444048298754,0.5
0.8,0.2,-1,-0.0212671517568109,-0.0503904766710015,0.0291233249141906,0.5
0.9,0.2,-1,-0.0242623522701425,-0.056662539612951,0.0324001873428085,0.5
1,0.2,-1,-0.0272544741249919,-0.062929651417174,0.0356751772921821,0.5
-1,0.3,-1,0.025114467161076,0.0636893861097366,-0.0385749189486606,0.5
-0.9,0.3,-1,0.0220485958432084,0.0572780998037031,-0.0352295039604947,0.5
-0.8,0.3,-1,0.0189876918797538,0.0508769690103366,-0.0318892771305828,0.5
-0.7,0.3,-1,0.0159316499604904,0.0444857174091755,-0.028554067448685,0.5
-0.6,0.3,-1,0.0128803641051758,0.0381040668896669,-0.025223702784491,0.5
-0.5,0.3,-1,0.00983372767844332,0.0317317376036421,-0.0218980099251988,0.5
-0.4,0.3,-1,0.00679163340473776,0.0253684480178991,-0.0185768146131613,0.5
-0.3,0.3,-1,0.00375397338338185,0.0190139149670487,-0.0152599415836669,0.5
-0.2,0.3,-1,0.00072063910364531,0.0126678537064443,-0.011947214602799,0.5
-0.1,0.3,-1,-0.00230847854007671,0.00632997796531071,-0.00863845650538742,0.5
0,0.3,-1,-0.0053334892330279,0,-0.0053334892330279,0.5
0.1,0.3,-1,-0.00835450322481548,-0.00632236935259792,-0.00203213387221757,0.5
0.2,0.3,-1,-0.0113716313140434,-0.0126374206215437,0.00126578930750032,0.5
0.3,0.3,-1,-0.0143849848329024,-0.0189454456481798,0.00456046081527733,0.5
0.4,0.3,-1,-0.0173946756317086,-0.0252467375323774,0.00785206190066884,0.5
0.5,0.3,-1,-0.0204008160633812,-0.0315415905786613,0.0111407745152801,0.5
0.6,0.3,-1,-0.0234035189678684,-0.0378303002422392,0.0144267812743709,0.5
0.7,0.3,-1,-0.0264028976565158,-0.044113163074925,0.0177102654184092,0.5
0.8,0.3,-1,-0.0293990658964212,-0.0503904766710015,0.0209914107745803,0.5
0.9,0.3,-1,-0.0323921378946707,-0.056662539612951,0.0242704017182803,0.5
1,0.3,-1,-0.0353822282826144,-0.062929651417174,0.0275474231345595,0.5
-1,0.4,-1,0.0169302301674025,0.0636893861097366,-0.0467591559423342,0.5
-0.9,0.4,-1,0.013868120439179,0.0572780998037031,-0.0434099793645242,0.5
-0.8,0.4,-1,0.0108108879655791,0.0508769690103366,-0.0400660810447575,0.5
-0.7,0.4,-1,0.0077584269325866,0.0444857174091755,-0.0367272904765888,0.5
-0.6,0.4,-1,0.00471063086866891,0.0381040668896669,-0.033393436020998,0.5
-0.5,0.4,-1,0.00166739265972055,0.0317317376036421,-0.0300643449439216,0.5
