"cell","link","skew","summary","n_t","beta","method","bias","mcse","rmse"
23,"identity",1,"range",200,0.3,"lognormal",0.0068184821665537,0.00127841163231287,0.0409779655959985
23,"identity",1,"range",200,0.3,"sample_exact",0.00129436523748841,0.000672192713745999,0.021285360761256
24,"logit",1,"range",200,0.3,"normal",0.25593838160878,0.00179016320484877,0.262118169527059
24,"logit",1,"range",200,0.3,"lognormal",-0.000132728371653668,0.000569130849097843,0.0179889863608842
24,"logit",1,"range",200,0.3,"sample_exact",-3.17042748317138e-05,0.000420760799117308,0.0132990080677021
25,"identity",0,"iqr",1000,0.3,"normal",0.000131081048714031,0.00033161290359398,0.0104820958282937
25,"identity",0,"iqr",1000,0.3,"lognormal",0.0050128763270468,0.0004098724676153,0.0138908737428433
25,"identity",0,"iqr",1000,0.3,"sample_exact",0.000172986714997095,0.000316264663614055,0.00999766165245784
26,"logit",0,"iqr",1000,0.3,"normal",-0.000683128710981819,0.000226422654187601,0.0071890622439089
26,"logit",0,"iqr",1000,0.3,"lognormal",-0.000731856748725388,0.000222685009959213,0.00707634364255503
26,"logit",0,"iqr",1000,0.3,"sample_exact",-0.000386304872952561,0.000204718347910897,0.00648204626829079
27,"identity",0.5,"iqr",1000,0.3,"normal",-0.0468505577131671,0.000271162287333995,0.0476280402191916
27,"identity",0.5,"iqr",1000,0.3,"lognormal",0.000858182076788729,0.000569357277276322,0.0180161044056489
27,"identity",0.5,"iqr",1000,0.3,"sample_exact",0.000508879235480433,0.00029665545415597,0.00939017636140598
28,"logit",0.5,"iqr",1000,0.3,"normal",-0.00846398571726502,0.000285331032291699,0.0123681622892297
28,"logit",0.5,"iqr",1000,0.3,"lognormal",-0.000147115156431118,0.000240054089130168,0.00758880640230453
28,"logit",0.5,"iqr",1000,0.3,"sample_exact",8.57092351573635e-05,0.00020818041182352,0.00658050840407749
29,"identity",1,"iqr",1000,0.3,"normal",-0.0677861536649039,0.000184097586675024,0.06803543678246
29,"identity",1,"iqr",1000,0.3,"lognormal",0.00134528021232229,0.000610681306325549,0.0193486047323121
29,"identity",1,"iqr",1000,0.3,"sample_exact",-4.62342188555402e-05,0.000293570994949051,0.00927900224966528
30,"logit",1,"iqr",1000,0.3,"normal",-0.0354932570175326,0.000239792282953145,0.0362934447571121
30,"logit",1,"iqr",1000,0.3,"lognormal",-0.000819724008084248,0.000250091033335338,0.00794700741658218
30,"logit",1,"iqr",1000,0.3,"sample_exact",-0.000300770122852269,0.0001799700692487,0.00569625309008976
31,"identity",0,"range",1000,0.3,"normal",-0.00277440315712699,0.00120275028312824,0.0381163868723123
31,"identity",0,"range",1000,0.3,"lognormal",-0.0134216588162731,0.000832837796569285,0.0295476919907364
31,"identity",0,"range",1000,0.3,"sample_exact",-0.000416545964679013,0.000300300610420485,0.00950072558823733
32,"logit",0,"range",1000,0.3,"normal",-0.000430247035076412,0.000749865760719305,0.0237048828925864
32,"logit",0,"range",1000,0.3,"lognormal",-0.00854066838542557,0.000486494602941176,0.0175892961246893
32,"logit",0,"range",1000,0.3,"sample_exact",-7.68897208075993e-05,0.000205164877761997,0.00648509417581535
33,"identity",0.5,"range",1000,0.3,"normal",0.345127841008106,0.00366750470576983,0.364074672031705
33,"identity",0.5,"range",1000,0.3,"lognormal",0.000691980956129037,0.000581557243817426,0.0183942778236149
33,"identity",0.5,"range",1000,0.3,"sample_exact",-6.26635783755795e-05,0.00030082269866968,0.00950829787411653
34,"logit",0.5,"range",1000,0.3,"normal",0.221960839197548,0.00122397996003221,0.225306997123697
34,"logit",0.5,"range",1000,0.3,"lognormal",-0.000293062893941499,0.000336087441777059,0.0106267445443811
34,"logit",0.5,"range",1000,0.3,"sample_exact",3.73684591640364e-05,0.000202184337695085,0.00639054178489831
35,"identity",1,"range",1000,0.3,"normal",0.799075038885706,0.0134452938951722,0.905050313391372
35,"identity",1,"range",1000,0.3,"lognormal",0.00417945136902831,0.000942298627822942,0.0300750160604957
35,"identity",1,"range",1000,0.3,"sample_exact",-0.000143747380175178,0.000306460141438112,0.00968734038739656
36,"logit",1,"range",1000,0.3,"normal",0.343090710461223,0.000892209046903369,0.344247696508168
36,"logit",1,"range",1000,0.3,"lognormal",-0.000139883735208081,0.000366851885806251,0.0115959170949459
36,"logit",1,"range",1000,0.3,"sample_exact",-4.997640062814e-05,0.000180435642894809,0.00570324134560829
37,"identity",0,"iqr",50,0.8,"normal",0.00203063398590414,0.00375090344401236,0.118572049168605
37,"identity",0,"iqr",50,0.8,"lognormal",0.0818166499735754,0.00606793918927929,0.208511463310018
37,"identity",0,"iqr",50,0.8,"sample_exact",0.00132416821885956,0.00347335113996657,0.109790060546652
38,"logit",0,"iqr",50,0.8,"normal",0.000907845372273922,0.00204202058091879,0.0645484499276551
38,"logit",0,"iqr",50,0.8,"lognormal",-0.00937709091616276,0.00220716132920237,0.0703890574311324
38,"logit",0,"iqr",50,0.8,"sample_exact",0.000334894569447493,0.00201675930977069,0.0637445130956842
39,"identity",0.5,"iqr",50,0.8,"normal",-0.116529135390012,0.00352464405234545,0.161213312027209
39,"identity",0.5,"iqr",50,0.8,"lognormal",0.0624106701146723,0.00821827127560818,0.267147027909519
39,"identity",0.5,"iqr",50,0.8,"sample_exact",0.00625690293087876,0.00373802023145475,0.118313022486118
40,"logit",0.5,"iqr",50,0.8,"normal",0.013908137438598,0.00199408836939276,0.0645433832668653
40,"logit",0.5,"iqr",50,0.8,"lognormal",-0.00302847258141496,0.00194462703101586,0.0615383162074181
40,"logit",0.5,"iqr",50,0.8,"sample_exact",0.0024224904454426,0.00177160682631285,0.0560474853695464
41,"identity",1,"iqr",50,0.8,"normal",-0.181689049102913,0.00215781928506691,0.194068128364398
41,"identity",1,"iqr",50,0.8,"lognormal",0.0924464082636784,0.0135314547175534,0.437565429287187
