"cell","sep","beta","position","sizes","sets","method","bias_native","mcse","bias_FD","rmse_FD"
44,1,0.6,"at_A","3to1","common","average",-0.0084684949519789,0.00856980024997429,-0.0084684949519789,0.270997694187398
44,1,0.6,"at_A","3to1","common","transportD",-0.00523564808141815,0.00813232868288428,-0.00523564808141815,0.257091514927055
45,1.5,0.6,"at_A","3to1","common","sponsorA",-0.0121487945958867,0.0112558676314966,0.437851205404113,0.564164461531805
45,1.5,0.6,"at_A","3to1","common","transportD",-0.00357862640058887,0.00977949203065479,-0.00357862640058887,0.309120740941429
45,1.5,0.6,"at_A","3to1","common","sponsorB",0.0179368008911075,0.017327079510945,-0.432063199108892,0.697571548099865
45,1.5,0.6,"at_A","3to1","common","average",0.00289400314761043,0.0114443370096999,0.00289400314761043,0.361732293272543
46,0.5,0.2,"outside","3to1","common","sponsorA",0.0116131686188131,0.00661254861053136,0.0616131686188131,0.217895057022329
46,0.5,0.2,"outside","3to1","common","average",0.0107508619872278,0.00671360816444221,0.0107508619872278,0.212468922632342
46,0.5,0.2,"outside","3to1","common","transportD",0.00987791914177751,0.00670204623699265,0.00987791914177751,0.21206149963064
46,0.5,0.2,"outside","3to1","common","sponsorB",0.00988855535564244,0.00737843289944848,-0.0401114446443576,0.236634229922616
47,1,0.2,"outside","3to1","common","sponsorB",0.0164686018822655,0.010499371972463,-0.0835313981177346,0.342204718663884
47,1,0.2,"outside","3to1","common","sponsorA",0.0013579234633563,0.00845940075337373,0.101357923463356,0.285942875927829
47,1,0.2,"outside","3to1","common","average",0.00891326267281087,0.00840124314928462,0.00891326267281087,0.26568731964176
47,1,0.2,"outside","3to1","common","transportD",0.00883487335439002,0.00807053263231076,0.00883487335439002,0.25523796437719
48,1.5,0.2,"outside","3to1","common","average",0.0272311879091369,0.0106239273069074,0.0272311879091369,0.336892417822029
48,1.5,0.2,"outside","3to1","common","sponsorB",0.0418491420858509,0.0160263727542458,-0.108150857914149,0.51796176220059
48,1.5,0.2,"outside","3to1","common","sponsorA",0.0126132337324228,0.0109622039135077,0.162613233732423,0.382743789644715
48,1.5,0.2,"outside","3to1","common","transportD",0.0156014565691272,0.00904617426173164,0.0156014565691272,0.286347413035146
49,0.5,0.4,"outside","3to1","common","sponsorA",-0.00132563515464062,0.00693376022250113,0.0986743648453594,0.240344719247066
49,0.5,0.4,"outside","3to1","common","sponsorB",0.00044933407377602,0.00772252436207307,-0.099550665926224,0.263605918421123
49,0.5,0.4,"outside","3to1","common","average",-0.000438150540432281,0.00700929468006226,-0.000438150540432281,0.221542938673146
49,0.5,0.4,"outside","3to1","common","transportD",-0.000247489915406443,0.00700914355860883,-0.000247489915406443,0.221537867153723
50,1,0.4,"outside","3to1","common","transportD",-0.00282636236785064,0.00769638161594379,-0.00282636236785064,0.243275654376869
50,1,0.4,"outside","3to1","common","sponsorB",0.000517449160775342,0.0104857705791829,-0.199482550839225,0.386826474461021
50,1,0.4,"outside","3to1","common","sponsorA",-0.00588784159686634,0.00811132199075283,0.194112158403134,0.321570024929495
50,1,0.4,"outside","3to1","common","average",-0.00268519621804553,0.00799845945327396,-0.00268519621804553,0.252821258106931
51,1.5,0.4,"outside","3to1","common","sponsorB",-0.0396554791913075,0.0159015445901228,-0.339655479191308,0.606607043955137
51,1.5,0.4,"outside","3to1","common","sponsorA",-0.0114656450044008,0.010991925469524,0.288534354995599,0.451612308418149
