"cell","method","n_ok","n_fail","bias","mcse","emp_se","mod_se","rmse","coverage","cov_mcse","ess","design","var_T","ratio","shift","em","exact_unadj"
19,"gcomp",1000,0,0.00933008209325337,0.0062328474496276,0.197099942491948,0.203251931506887,0.197222182765697,0.949,0.00695693898205238,NA,"anchored",0.25,0.5,0.3,"none",0.0201692779838926
20,"maic_means",1000,0,0.0252772846140877,0.00615747772151558,0.194716542417332,0.186122130470181,0.196253811368165,0.928,0.00817410545564467,290.138677002151,"unanchored",0.25,0.5,0.3,"none",0.288338069081427
20,"maic_index",1000,0,-0.00756379099034266,0.00838016365646077,0.265004043193809,0.250421929502922,0.264979483545996,0.933,0.00790638982089803,140.569987428966,"unanchored",0.25,0.5,0.3,"none",0.288338069081427
20,"maic_meanvar",1000,0,0.0251984801322873,0.0101857154324489,0.322100603648654,0.297407966036172,0.322924160559308,0.92,0.00857904423581089,83.0552958938585,"unanchored",0.25,0.5,0.3,"none",0.288338069081427
20,"unadjusted",1000,0,0.280865152729735,0.00522370716663729,0.165188124763186,0.15744878858458,0.32579911519848,0.558,0.0157046489932122,500,"unanchored",0.25,0.5,0.3,"none",0.288338069081427
20,"gcomp",1000,0,-0.020177199854861,0.00611999764657184,0.193531318380372,0.185279247615065,0.194484025608362,0.933,0.00790638982089803,NA,"unanchored",0.25,0.5,0.3,"none",0.288338069081427
21,"maic_means",1000,0,0.0588681881226494,0.00758948814643524,0.240000688175849,0.233050377765302,0.246998367539949,0.937,0.00768316341099159,579.309809116193,"anchored",1,0.5,0.3,"none",0.0663331061119713
21,"maic_index",1000,0,0.0173838344833,0.0112281139335597,0.35506413857921,0.328077365074838,0.355312073625193,0.926,0.00827792244467173,246.510246888327,"anchored",1,0.5,0.3,"none",0.0663331061119713
21,"maic_meanvar",1000,0,0.0221417045914185,0.0127685829655408,0.403778046639363,0.384407066988356,0.40418303937593,0.933,0.00790638982089803,153.761399876668,"anchored",1,0.5,0.3,"none",0.0663331061119713
21,"unadjusted",1000,0,0.0671134081256763,0.00648193156684425,0.204976673885718,0.199858683862227,0.215586713298056,0.93,0.00806845710157772,1000,"anchored",1,0.5,0.3,"none",0.0663331061119713
21,"gcomp",1000,0,-0.00115892644633208,0.00609912589011005,0.192871295488496,0.186156214950725,0.19277831931339,0.941,0.00745110730026082,NA,"anchored",1,0.5,0.3,"none",0.0663331061119713
