"location","magnitude","model","regimen","administered","rho","truth","bias","sd","coverage"
"A+B and C+D",0.3,"interactions for co-administered pairs","A+C",TRUE,0,-0.55,0,0.14142135623731,0.950004209703559
"A+B and C+D",0.3,"interactions for co-administered pairs","A+D",FALSE,1,-0.45,-1.11022302462516e-16,0.129099444873581,0.950004209703559
"A+B and C+D",0.3,"interactions for co-administered pairs","B+C",TRUE,0,-0.45,5.55111512312578e-17,0.141421356237309,0.950004209703559
"A+B and C+D",0.3,"interactions for co-administered pairs","B+D",FALSE,1,-0.35,0,0.141421356237309,0.950004209703559
"A+B and C+D",0.3,"interactions for co-administered pairs","C+D",FALSE,1,-0.7,0.3,0.14142135623731,0.435898160339556
"A+B and C+D",0.3,"interactions for co-administered pairs","A+B+C",FALSE,0,-1.05,0,0.163299316185545,0.950004209703559
"A+B and C+D",0.3,"interactions for co-administered pairs","A+B+D",FALSE,0.666666666666667,-0.95,-1.11022302462516e-16,0.129099444873581,0.950004209703559
"A+B and C+D",0.3,"interactions for co-administered pairs","A+C+D",FALSE,0.666666666666667,-1,0.3,0.173205080756888,0.590045903883858
"A+B and C+D",0.3,"interactions for co-administered pairs","B+C+D",FALSE,0.666666666666667,-0.9,0.3,0.173205080756888,0.590045903883857
"A+B and C+D",0.3,"interactions for co-administered pairs","A+B+C+D",FALSE,0.5,-1.5,0.3,0.191485421551268,0.652741058238669
"all six pairs",0.1,"additive","A+B",TRUE,0,-0.55,0,0.0707106781186548,0.950004209703559
"all six pairs",0.1,"additive","A+C",TRUE,0,-0.6,1.11022302462516e-16,0.0935414346693485,0.950004209703559
"all six pairs",0.1,"additive","A+D",FALSE,1,-0.5,0.025,0.117260393995586,0.944781312596827
"all six pairs",0.1,"additive","B+C",TRUE,0,-0.5,0,0.0935414346693485,0.950004209703559
"all six pairs",0.1,"additive","B+D",FALSE,1,-0.4,0.025,0.117260393995586,0.944781312596827
"all six pairs",0.1,"additive","C+D",FALSE,1,-0.45,0.025,0.122474487139159,0.945217784266185
"all six pairs",0.1,"additive","A+B+C",FALSE,0,-0.9,0.0750000000000001,0.1,0.883496393149353
"all six pairs",0.1,"additive","A+B+D",FALSE,0.666666666666667,-0.8,0.1,0.122474487139159,0.870837771370214
"all six pairs",0.1,"additive","A+C+D",FALSE,0.666666666666667,-0.85,0.1,0.136930639376292,0.88702645116555
"all six pairs",0.1,"additive","B+C+D",FALSE,0.666666666666667,-0.75,0.1,0.136930639376292,0.88702645116555
"all six pairs",0.1,"additive","A+B+C+D",FALSE,0.5,-1.2,0.225,0.14142135623731,0.643747876125513
"all six pairs",0.1,"interactions for co-administered pairs","A+B",TRUE,0,-0.55,0,0.0816496580927726,0.950004209703559
"all six pairs",0.1,"interactions for co-administered pairs","A+C",TRUE,0,-0.6,0,0.14142135623731,0.950004209703559
"all six pairs",0.1,"interactions for co-administered pairs","A+D",FALSE,1,-0.5,0.0499999999999999,0.129099444873581,0.932650989592383
"all six pairs",0.1,"interactions for co-administered pairs","B+C",TRUE,0,-0.5,5.55111512312578e-17,0.141421356237309,0.950004209703559
"all six pairs",0.1,"interactions for co-administered pairs","B+D",FALSE,1,-0.4,0.05,0.141421356237309,0.935565975096809
"all six pairs",0.1,"interactions for co-administered pairs","C+D",FALSE,1,-0.45,0.05,0.14142135623731,0.935565975096809
"all six pairs",0.1,"interactions for co-administered pairs","A+B+C",FALSE,0,-0.9,-1.11022302462516e-16,0.163299316185545,0.950004209703559
"all six pairs",0.1,"interactions for co-administered pairs","A+B+D",FALSE,0.666666666666667,-0.8,0.0999999999999999,0.129099444873581,0.878948154625013
"all six pairs",0.1,"interactions for co-administered pairs","A+C+D",FALSE,0.666666666666667,-0.85,0.0999999999999999,0.173205080756888,0.91102909688831
