"cell","rate","mech","bu","method","n","bias","mcse","rmse","coverage","cov_mcse"
29,0.3,"MAR_u_armA",0.3,"mi_congenial",1000,-0.0201935258285024,0.0062464163695016,0.198460268641113,0.953,0.00669260786241059
29,0.3,"MAR_u_armA",0.3,"ipw",1000,-0.178693617958328,0.0130840447923529,0.450502436174552,0.799,0.0126727660753286
29,0.3,"MAR_u_armA",0.3,"complete_case",1000,-0.847063802671659,0.00877165226343271,0.8912811157787,0.149,0.0112605062053178
30,0.5,"MAR_u_armA",0.3,"mi_congenial",1000,-0.19339201434712,0.00929646480093152,0.351764558690043,0.945,0.00720936890441875
30,0.5,"MAR_u_armA",0.3,"ipw",1000,-0.978409086255632,0.0287789284915868,1.33592022159496,0.414,0.0155757503832079
30,0.5,"MAR_u_armA",0.3,"complete_case",1000,-1.6048556432517,0.0226485207798867,1.75727179847065,0.22,0.0130996183150503
30,0.5,"MAR_u_armA",0.3,"mi_generic",1000,0.000206830509609966,0.00618005267877325,0.195332795096368,0.965,0.00581162627841812
31,0.15,"MAR_y",0.3,"mi_congenial",1000,0.00259730387189657,0.00629019136488605,0.198830799643524,0.958,0.00634318531969546
31,0.15,"MAR_y",0.3,"ipw",1000,-0.0123371383901809,0.00875961286568426,0.27713948062801,0.97,0.00539444158370447
31,0.15,"MAR_y",0.3,"complete_case",1000,-0.0924899472343352,0.0066042186953657,0.228312240607138,0.924,0.00837997613361756
31,0.15,"MAR_y",0.3,"mi_generic",1000,-0.00906873528642333,0.00605405692385392,0.19156512102082,0.965,0.00581162627841812
32,0.3,"MAR_y",0.3,"ipw",1000,-0.0289891516830153,0.0121782736955283,0.386008304014687,0.952,0.00675988165576884
32,0.3,"MAR_y",0.3,"complete_case",1000,-0.130693177507959,0.00803529916575434,0.285625932466952,0.893,0.00977501918156686
32,0.3,"MAR_y",0.3,"mi_generic",1000,-0.0088904387196351,0.00610558887109552,0.193183791110979,0.958,0.00634318531969546
32,0.3,"MAR_y",0.3,"mi_congenial",1000,0.0055762610831218,0.00648472923645737,0.205038426263376,0.96,0.00619677335393187
33,0.5,"MAR_y",0.3,"mi_generic",1000,-0.00982725971215856,0.00607126156723501,0.192145600611144,0.971,0.00530650544143696
33,0.5,"MAR_y",0.3,"mi_congenial",1000,0.00140195983076807,0.00660386722041304,0.208732883595154,0.957,0.00641490451994416
33,0.5,"MAR_y",0.3,"ipw",1000,-0.037243225532349,0.0173994170904911,0.551202352336998,0.931,0.00801492358042171
33,0.5,"MAR_y",0.3,"complete_case",1000,-0.166766634915503,0.0110761332969278,0.387774623465153,0.863,0.0108734079294396
34,0.15,"MNAR_x1",0.3,"mi_generic",1000,0.0685394360598378,0.00646493586788436,0.215525531377334,0.96,0.00619677335393187
