"cell","d","c","near","poor","design","rho","same_best","rmse_best","loss_best"
83,-0.1,1,TRUE,FALSE,"anchored",0.9,FALSE,"gcomp","unadjusted"
84,-0.1,1,TRUE,FALSE,"unanchored",-0.2,FALSE,"maic_means","unadjusted"
85,-0.1,1,TRUE,FALSE,"anchored",0.6,FALSE,"unadjusted","gcomp"
86,-0.1,1,TRUE,FALSE,"unanchored",0,FALSE,"gcomp","unadjusted"
87,-0.1,1,TRUE,FALSE,"anchored",0.5,TRUE,"gcomp","gcomp"
88,-0.1,1,TRUE,FALSE,"unanchored",0,FALSE,"maic_index","unadjusted"
89,-0.1,1,TRUE,FALSE,"anchored",0.564288093646835,TRUE,"gcomp","gcomp"
90,-0.1,1,TRUE,FALSE,"unanchored",0,FALSE,"maic_index","unadjusted"
91,-0.1,1,TRUE,TRUE,"anchored",0.9,FALSE,"gcomp","unadjusted"
92,-0.1,1,TRUE,TRUE,"unanchored",-0.2,FALSE,"gcomp","unadjusted"
93,-0.1,1,TRUE,TRUE,"anchored",0.8,FALSE,"gcomp","unadjusted"
94,-0.1,1,TRUE,TRUE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
95,-0.1,1,TRUE,TRUE,"anchored",0.8,FALSE,"gcomp","unadjusted"
96,-0.1,1,TRUE,TRUE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
97,-0.1,1,TRUE,FALSE,"anchored",0,FALSE,"gcomp","unadjusted"
98,-0.1,1,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
99,-0.1,1,TRUE,FALSE,"anchored",0.8,FALSE,"gcomp","unadjusted"
100,-0.1,1,TRUE,FALSE,"unanchored",0,FALSE,"gcomp","unadjusted"
101,-0.1,1,TRUE,FALSE,"anchored",0.9,FALSE,"gcomp","unadjusted"
102,-0.1,1,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
103,-0.1,1,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
104,-0.1,1,TRUE,FALSE,"unanchored",-0.2,FALSE,"gcomp","unadjusted"
105,-0.1,1,TRUE,FALSE,"anchored",0.8,FALSE,"gcomp","unadjusted"
106,-0.1,1,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
107,-0.1,1,TRUE,FALSE,"anchored",0.5,TRUE,"gcomp","gcomp"
108,-0.1,1,TRUE,FALSE,"unanchored",-0.6,FALSE,"gcomp","unadjusted"
1,0.1,1,TRUE,FALSE,"anchored",0.6,TRUE,"gcomp","gcomp"
2,0.1,1,TRUE,FALSE,"unanchored",0.6,TRUE,"gcomp","gcomp"
3,0.1,1,TRUE,FALSE,"anchored",0.1,TRUE,"gcomp","gcomp"
4,0.1,1,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
5,0.1,1,TRUE,FALSE,"anchored",0.2,TRUE,"gcomp","gcomp"
6,0.1,1,TRUE,FALSE,"unanchored",0.8,FALSE,"gcomp","maic_index"
7,0.1,1,TRUE,FALSE,"anchored",0.447213595499958,TRUE,"gcomp","gcomp"
8,0.1,1,TRUE,FALSE,"unanchored",0.205195670417031,TRUE,"maic_index","maic_index"
9,0.1,1,TRUE,FALSE,"anchored",0.359092423229804,TRUE,"gcomp","gcomp"
10,0.1,1,TRUE,FALSE,"unanchored",0.820782681668123,TRUE,"gcomp","gcomp"
11,0.1,1,TRUE,FALSE,"anchored",0,FALSE,"gcomp","maic_meanvar"
12,0.1,1,TRUE,FALSE,"unanchored",0.7,TRUE,"maic_index","maic_index"
13,0.1,1,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","maic_means"
14,0.1,1,TRUE,FALSE,"unanchored",0.1,FALSE,"gcomp","unadjusted"
15,0.1,1,TRUE,FALSE,"anchored",0.1,FALSE,"gcomp","maic_means"
16,0.1,1,TRUE,FALSE,"unanchored",-0.6,FALSE,"gcomp","maic_means"
17,0.1,1,TRUE,FALSE,"anchored",-0.5,FALSE,"gcomp","unadjusted"
18,0.1,1,TRUE,FALSE,"unanchored",-0.5,FALSE,"maic_index","maic_means"
19,0.1,1,TRUE,FALSE,"anchored",1,TRUE,"gcomp","gcomp"
20,0.1,1,TRUE,FALSE,"unanchored",0.9,TRUE,"gcomp","gcomp"
21,0.1,1,TRUE,FALSE,"anchored",0,TRUE,"gcomp","gcomp"
22,0.1,1,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
23,0.1,1,TRUE,FALSE,"anchored",0.1,TRUE,"gcomp","gcomp"
24,0.1,1,TRUE,FALSE,"unanchored",0.5,FALSE,"gcomp","maic_index"
25,0.1,1,TRUE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
26,0.1,1,TRUE,FALSE,"unanchored",0.359092423229804,FALSE,"gcomp","maic_means"
27,0.1,1,TRUE,FALSE,"anchored",0.670820393249937,TRUE,"gcomp","gcomp"
28,0.1,1,TRUE,FALSE,"unanchored",0.820782681668123,TRUE,"gcomp","gcomp"
29,0.1,1,TRUE,FALSE,"anchored",0.3,TRUE,"gcomp","gcomp"
30,0.1,1,TRUE,FALSE,"unanchored",0.6,FALSE,"maic_means","maic_index"
31,0.1,1,TRUE,FALSE,"anchored",0.3,FALSE,"gcomp","unadjusted"
32,0.1,1,TRUE,FALSE,"unanchored",0.7,FALSE,"gcomp","maic_means"
33,0.1,1,TRUE,FALSE,"anchored",0.1,FALSE,"gcomp","maic_means"
34,0.1,1,TRUE,FALSE,"unanchored",0.4,FALSE,"gcomp","maic_means"
35,0.1,1,TRUE,FALSE,"anchored",-0.1,FALSE,"gcomp","unadjusted"
36,0.1,1,TRUE,FALSE,"unanchored",0.4,FALSE,"maic_index","maic_means"
37,0.1,1,TRUE,TRUE,"anchored",1,TRUE,"gcomp","gcomp"
38,0.1,1,TRUE,TRUE,"unanchored",0.7,TRUE,"gcomp","gcomp"
39,0.1,1,TRUE,TRUE,"anchored",1,TRUE,"gcomp","gcomp"
40,0.1,1,TRUE,TRUE,"unanchored",0.7,TRUE,"gcomp","gcomp"
41,0.1,1,TRUE,TRUE,"anchored",0.1,TRUE,"gcomp","gcomp"
42,0.1,1,TRUE,TRUE,"unanchored",0.6,FALSE,"gcomp","maic_index"
43,0.1,1,TRUE,FALSE,"anchored",0.820782681668123,TRUE,"gcomp","gcomp"
44,0.1,1,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
45,0.1,1,TRUE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
46,0.1,1,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
47,0.1,1,TRUE,FALSE,"anchored",0.9,TRUE,"gcomp","gcomp"
48,0.1,1,TRUE,FALSE,"unanchored",0,FALSE,"gcomp","maic_meanvar"
49,0.1,1,TRUE,FALSE,"anchored",0.5,FALSE,"gcomp","unadjusted"
50,0.1,1,TRUE,FALSE,"unanchored",0.7,FALSE,"gcomp","maic_means"
51,0.1,1,TRUE,FALSE,"anchored",0.5,FALSE,"gcomp","unadjusted"
52,0.1,1,TRUE,FALSE,"unanchored",0.5,FALSE,"gcomp","maic_means"
53,0.1,1,TRUE,FALSE,"anchored",-0.1,FALSE,"gcomp","unadjusted"
54,0.1,1,TRUE,FALSE,"unanchored",0.9,TRUE,"maic_index","maic_index"
55,0.1,1,TRUE,FALSE,"anchored",0.0512989176042577,TRUE,"gcomp","gcomp"
56,0.1,1,TRUE,FALSE,"unanchored",0.6,TRUE,"gcomp","gcomp"
57,0.1,1,TRUE,FALSE,"anchored",0.1,TRUE,"gcomp","gcomp"
58,0.1,1,TRUE,FALSE,"unanchored",0.8,FALSE,"gcomp","maic_index"
59,0.1,1,TRUE,FALSE,"anchored",0.2,TRUE,"gcomp","gcomp"
60,0.1,1,TRUE,FALSE,"unanchored",0.8,FALSE,"gcomp","maic_index"
61,0.1,1,TRUE,FALSE,"anchored",-0.5,FALSE,"unadjusted","maic_index"
62,0.1,1,TRUE,FALSE,"unanchored",0.564288093646835,FALSE,"maic_meanvar","maic_means"
63,0.1,1,TRUE,FALSE,"anchored",0.3,TRUE,"gcomp","gcomp"
64,0.1,1,TRUE,FALSE,"unanchored",0.5,FALSE,"maic_index","maic_means"
65,0.1,1,TRUE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
66,0.1,1,TRUE,FALSE,"unanchored",0.8,FALSE,"maic_index","gcomp"
67,0.1,1,TRUE,FALSE,"anchored",0.1,FALSE,"gcomp","maic_means"
68,0.1,1,TRUE,FALSE,"unanchored",-0.5,FALSE,"gcomp","maic_means"
69,0.1,1,TRUE,FALSE,"anchored",0.0512989176042577,FALSE,"gcomp","maic_means"
70,0.1,1,TRUE,FALSE,"unanchored",-0.718184846459608,FALSE,"gcomp","maic_means"
71,0.1,1,TRUE,FALSE,"anchored",-0.7,FALSE,"gcomp","unadjusted"
72,0.1,1,TRUE,FALSE,"unanchored",-0.5,FALSE,"maic_index","maic_means"
73,0.1,1,TRUE,FALSE,"anchored",0.5,TRUE,"gcomp","gcomp"
74,0.1,1,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
75,0.1,1,TRUE,FALSE,"anchored",0.2,TRUE,"gcomp","gcomp"
76,0.1,1,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
77,0.1,1,TRUE,FALSE,"anchored",0.2,TRUE,"gcomp","gcomp"
78,0.1,1,TRUE,FALSE,"unanchored",0.5,FALSE,"gcomp","maic_index"
79,0.1,1,TRUE,FALSE,"anchored",1,TRUE,"gcomp","gcomp"
80,0.1,1,TRUE,FALSE,"unanchored",0.820782681668123,TRUE,"gcomp","gcomp"
81,0.1,1,TRUE,FALSE,"anchored",0.5,TRUE,"gcomp","gcomp"
