"cell","em","align","shift","nA_ratio","method","contrast","bias","mcse","coverage","cov_mcse","width","emp_sd"
6,0,"same",0.8,0.5,"fixed","BC",-0.00328931028595942,0.00290471226054744,0.93,0.00806845710157772,0.346230693622324,0.0918550669074636
6,0,"same",0.8,0.5,"stacked","AB",0.013069697882735,0.00391907084633757,0.939,0.00756828910652864,0.462791099241164,0.123931901859905
6,0,"same",0.8,0.5,"drop","BC",0.00339505142726662,0.00356147247151857,0.941,0.00745110730026082,0.438294958923034,0.112623648339878
6,0,"same",0.8,0.5,"drop","AC",0.00275933137894554,0.00348890536057711,0.948,0.00702111102319284,0.437465822156637,0.110328874801947
6,0,"same",0.8,0.5,"stacked_trial","AB",0.021957533521348,0.00613003508103322,0.93,0.00806845710157772,0.725913755338462,0.193848729927998
6,0,"same",0.8,0.5,"fixed","AB",0.012869396388179,0.00388384100364574,0.949,0.00695693898205238,0.465281595593518,0.122817836414749
6,0,"same",0.8,0.5,"split_trial","AB",0.021957533521348,0.00613003508103322,0.93,0.00806845710157772,0.725913755338462,0.193848729927998
6,0,"same",0.8,0.5,"stacked","BC",-0.00332362179116756,0.00292453153243983,0.927,0.00822623850857729,0.344564508947834,0.0924818073149247
6,0,"same",0.8,0.5,"stacked_trial","AC",0.0150376303184626,0.00594535825375881,0.939,0.00756828910652864,0.726940180987534,0.188008735875592
6,0,"same",0.8,0.5,"split","BC",-0.00178389999988465,0.00313011866844254,0.942,0.00739161687318817,0.384590116245291,0.0989830433889184
6,0,"same",0.8,0.5,"stacked_trial","BC",-0.00691990320288543,0.00520520516475989,0.932,0.00796090447122687,0.609644637791053,0.164603040091133
6,0,"same",0.8,0.5,"split_trial","BC",-0.00691990320288543,0.00520520516475989,0.998,0.00141279864099595,1.02833572854531,0.164603040091133
6,0,"same",0.8,0.5,"fixed_trial","BC",-0.00691990320288543,0.00520520516475989,0.942,0.00739161687318817,0.620209551518006,0.164603040091133
7,0.3,"same",0.8,0.5,"split_trial","AB",0.00451075936334946,0.00664421003893722,0.929,0.00812151463706124,0.780538766900374,0.210108369755976
7,0.3,"same",0.8,0.5,"fixed_trial","AB",0.00451075936334946,0.00664421003893722,0.935,0.0077958322198467,0.800829351718735,0.210108369755976
7,0.3,"same",0.8,0.5,"drop","AB",0.00635146286102105,0.00540942264176671,0.965,0.00581162627841812,0.687837186406375,0.171060963744679
7,0.3,"same",0.8,0.5,"split","AB",0.00795579336114817,0.00458050926957649,0.91,0.00904986187739901,0.491732491260565,0.144848421353759
7,0.3,"same",0.8,0.5,"drop","AC",0.00480592554812103,0.00380483160104363,0.946,0.00714730718522718,0.469838610463075,0.12031933972683
7,0.3,"same",0.8,0.5,"fixed","AB",0.00691799034844184,0.00427277927191517,0.938,0.00762600813007697,0.512171560282751,0.135117144384078
7,0.3,"same",0.8,0.5,"fixed_trial","BC",-0.00251918828681273,0.00622133253883306,0.949,0.00695693898205238,0.732070903446246,0.196735809040304
7,0.3,"same",0.8,0.5,"stacked","BC",-0.00299745513743321,0.00333796667325344,0.936,0.0077397674383666,0.395999420969989,0.105555774412159
7,0.3,"same",0.8,0.5,"drop","BC",-0.0015455373129,0.00400852897898783,0.951,0.00682634602111555,0.502069824491037,0.126760816403908
7,0.3,"same",0.8,0.5,"stacked_trial","AC",0.00199157107653673,0.00668902348422557,0.924,0.00837997613361756,0.77702937588353,0.211525495325082
7,0.3,"same",0.8,0.5,"stacked_trial","AB",0.00451075936334946,0.00664421003893722,0.929,0.00812151463706124,0.780538766900374,0.210108369755976
7,0.3,"same",0.8,0.5,"fixed","BC",-0.00201055408592118,0.00329709953909096,0.945,0.00720936890441875,0.398495342639834,0.104263442158188
7,0.3,"same",0.8,0.5,"stacked","AB",0.00980920648624376,0.00433017345387825,0.933,0.00790638982089803,0.506971020676763,0.136932107778533
7,0.3,"same",0.8,0.5,"split_trial","BC",-0.00251918828681273,0.00622133253883306,0.992,0.00281709069786544,1.10287799335118,0.196735809040304
7,0.3,"same",0.8,0.5,"stacked","AC",0.00681175134881055,0.0033844564924031,0.943,0.00733150734842434,0.389517552186464,0.107025911577382
7,0.3,"same",0.8,0.5,"split","BC",-0.00158230125696561,0.00346545316505143,0.956,0.00648567652600714,0.433608048095079,0.109587251262019
7,0.3,"same",0.8,0.5,"split","AC",0.00637349210418256,0.00345910131085591,0.907,0.00918428004799505,0.366277882211118,0.109386387995788
7,0.3,"same",0.8,0.5,"fixed_trial","AC",0.00199157107653673,0.00668902348422557,0.939,0.00756828910652864,0.796759596765308,0.211525495325082
7,0.3,"same",0.8,0.5,"fixed","AC",0.00490743626252065,0.00335589110322824,0.949,0.00695693898205238,0.392317278943106,0.106122594656965
7,0.3,"same",0.8,0.5,"split_trial","AC",0.00199157107653673,0.00668902348422557,0.924,0.00837997613361756,0.77702937588353,0.211525495325082
7,0.3,"same",0.8,0.5,"stacked_trial","BC",-0.00251918828681273,0.00622133253883306,0.929,0.00812151463706124,0.715456551712522,0.196735809040304
8,0.6,"same",0.8,0.5,"drop","AB",-0.00462295389854201,0.00629562541145508,0.944,0.00727076337120113,0.779004034490998,0.199085155954328
8,0.6,"same",0.8,0.5,"fixed_trial","AC",-0.00655677939954963,0.00718147009713796,0.939,0.00756828910652864,0.872975798060812,0.227098024553466
8,0.6,"same",0.8,0.5,"stacked","AC",-1.83922256944993e-05,0.00352419500274889,0.939,0.00756828910652864,0.420749620498184,0.111444831272699
8,0.6,"same",0.8,0.5,"split_trial","AC",-0.00655677939954963,0.00718147009713796,0.922,0.00848033018225116,0.836622026012064,0.227098024553466
8,0.6,"same",0.8,0.5,"split","AC",-0.0014001017093465,0.00356061882303429,0.921,0.00852988862764339,0.399857915272347,0.112596653604564
8,0.6,"same",0.8,0.5,"split","AB",-0.0053952999412178,0.00482593831229106,0.925,0.00832916562447884,0.543970461877654,0.152609569143087
8,0.6,"same",0.8,0.5,"fixed","AC",-0.00427185230854583,0.00349087031319416,0.95,0.00689202437604511,0.427042458202136,0.110391012059589
8,0.6,"same",0.8,0.5,"fixed_trial","AB",-0.0106997637281611,0.00726308265576674,0.942,0.00739161687318817,0.868645161998597,0.229678840262876
8,0.6,"same",0.8,0.5,"fixed","BC",0.00383567526862505,0.00369609381352742,0.961,0.00612200947402077,0.464322714370948,0.116880748964043
8,0.6,"same",0.8,0.5,"stacked","AB",-0.00226009674670208,0.00468505235191367,0.94,0.00750999334220744,0.559581188827452,0.148154363891759
8,0.6,"same",0.8,0.5,"drop","BC",0.00278554954313221,0.00455497523156515,0.951,0.00682634602111555,0.58395063340309,0.144040964173988
8,0.6,"same",0.8,0.5,"drop","AC",-0.0018374043554098,0.00425024030692644,0.946,0.00714730718522718,0.515241145842485,0.134404399729407
8,0.6,"same",0.8,0.5,"stacked_trial","AB",-0.0106997637281611,0.00726308265576674,0.928,0.00817410545564467,0.83447079035151,0.229678840262876
8,0.6,"same",0.8,0.5,"fixed","AB",-0.00810752757717087,0.00460583685635923,0.95,0.00689202437604511,0.570365277670612,0.145649349972449
8,0.6,"same",0.8,0.5,"split_trial","AB",-0.0106997637281611,0.00726308265576674,0.928,0.00817410545564467,0.83447079035151,0.229678840262876
8,0.6,"same",0.8,0.5,"stacked","BC",0.00224170452100758,0.00374094805559499,0.952,0.00675988165576884,0.461105356108499,0.118299164640584
8,0.6,"same",0.8,0.5,"stacked_trial","AC",-0.00655677939954963,0.00718147009713796,0.922,0.00848033018225116,0.836622026012064,0.227098024553466
8,0.6,"same",0.8,0.5,"split","BC",0.0039951982318713,0.00378974554704105,0.965,0.00581162627841812,0.493492094479439,0.119842276811305
8,0.6,"same",0.8,0.5,"stacked_trial","BC",0.00414298432861146,0.00746514569476477,0.936,0.0077397674383666,0.857942585664744,0.236068634604568
8,0.6,"same",0.8,0.5,"split_trial","BC",0.00414298432861146,0.00746514569476477,0.983,0.00408790900094413,1.18360588189817,0.236068634604568
8,0.6,"same",0.8,0.5,"fixed_trial","BC",0.00414298432861146,0.00746514569476477,0.947,0.00708456067798138,0.879917762663476,0.236068634604568
9,0.3,"opposite",0.8,0.5,"split_trial","AB",0.000250697438035247,0.00677271802613151,0.927,0.00822623850857729,0.771762788735781,0.214172149126554
9,0.3,"opposite",0.8,0.5,"fixed_trial","AB",0.000250697438035247,0.00677271802613151,0.939,0.00756828910652864,0.790608814331555,0.214172149126554
9,0.3,"opposite",0.8,0.5,"drop","AB",0.004264269061286,0.00490967252750731,0.957,0.00641490451994416,0.61779821185007,0.155257477524788
9,0.3,"opposite",0.8,0.5,"split","AB",0.00954342913004393,0.00427921372848355,0.906,0.00922843432007835,0.45912995913849,0.135320619766694
9,0.3,"opposite",0.8,0.5,"drop","AC",0.00293645824284542,0.00335734987435905,0.948,0.00702111102319284,0.418617693721994,0.106168725050547
9,0.3,"opposite",0.8,0.5,"fixed","AB",0.00418383102488513,0.00400361853871773,0.945,0.00720936890441875,0.477647084981757,0.126605534648231
9,0.3,"opposite",0.8,0.5,"fixed_trial","BC",0.0158916709000538,0.00521478778923668,0.942,0.00739161687318817,0.643520003608971,0.16490606928422
9,0.3,"opposite",0.8,0.5,"stacked","BC",0.00224143578095328,0.00299986309068942,0.946,0.00714730718522718,0.357311553158435,0.0948640003525081
9,0.3,"opposite",0.8,0.5,"drop","BC",-0.00132781081844062,0.00364501393301429,0.952,0.00675988165576884,0.45408964296493,0.115265461313736
9,0.3,"opposite",0.8,0.5,"stacked_trial","AC",0.0161423683380891,0.00616611168665299,0.919,0.00862780389206894,0.700297275008563,0.194989572368059
9,0.3,"opposite",0.8,0.5,"stacked_trial","AB",0.000250697438035247,0.00677271802613151,0.927,0.00822623850857729,0.771762788735781,0.214172149126554
9,0.3,"opposite",0.8,0.5,"fixed","BC",0.00500640811461692,0.00297457905193364,0.949,0.00695693898205238,0.362422174000929,0.094064448843346
9,0.3,"opposite",0.8,0.5,"stacked","AB",0.00644564258262091,0.00402991273253347,0.936,0.0077397674383666,0.473700669520296,0.127437030065187
9,0.3,"opposite",0.8,0.5,"split_trial","BC",0.0158916709000538,0.00521478778923668,0.996,0.00199599599197994,1.0432149996075,0.16490606928422
9,0.3,"opposite",0.8,0.5,"stacked","AC",0.00868707836357425,0.00295331261994152,0.943,0.00733150734842434,0.352725111857083,0.093391945215344
9,0.3,"opposite",0.8,0.5,"split","BC",-0.000664044145116531,0.00316650082027,0.953,0.00669260786241059,0.398724642925527,0.100133548048447
9,0.3,"opposite",0.8,0.5,"split","AC",0.00887938498492746,0.00306894915450849,0.908,0.00913980306133562,0.33104543369931,0.0970486935149483
9,0.3,"opposite",0.8,0.5,"fixed_trial","AC",0.0161423683380891,0.00616611168665299,0.932,0.00796090447122687,0.713192138927047,0.194989572368059
9,0.3,"opposite",0.8,0.5,"fixed","AC",0.0091902391395021,0.00294176026492207,0.945,0.00720936890441875,0.353826091382813,0.0930266276733408
