"S","spread","D","E","model","bias","sd_post","coverage","data_share"
2,1,0.15,0,"hierarchical",-0.0200000000000001,0.0658280588604383,0.950174078242402,0.866666666666667
4,1,0.15,0,"shared",-0.046551724137931,0.0557086014531156,0.866974294614248,0.689655172413793
4,1,0.15,0,"separate",-0.00795677799607075,0.0664863310766904,0.950388045813161,0.982318271119843
4,1,0.15,0,"hierarchical",-0.0182432432432433,0.0628705233213682,0.950141949586439,0.878378378378378
1,0.3,0.3,0,"shared",-0.3,0.1,0.149161231672944,0
1,0.3,0.3,0,"separate",-0.6,0.5,1,0
1,0.3,0.3,0,"hierarchical",-0.3,0.180277563773199,0.703113101598559,0
2,0.3,0.3,0,"shared",-0.254237288135593,0.0920574617898323,0.211344768858439,0.152542372881356
2,0.3,0.3,0,"separate",-0.109090909090909,0.21320071635561,0.942183916327362,0.818181818181818
2,0.3,0.3,0,"hierarchical",-0.189274447949527,0.143194734055407,0.802428597479776,0.369085173501577
4,0.3,0.3,0,"shared",-0.25,0.0912870929175277,0.21809200126802,0.166666666666667
4,0.3,0.3,0,"separate",-0.1,0.204124145231932,0.942701436234852,0.833333333333333
4,0.3,0.3,0,"hierarchical",-0.181818181818182,0.140345893053447,0.80843194463471,0.393939393939394
1,1,0.3,0,"shared",-0.3,0.1,0.149161231672944,0
1,1,0.3,0,"separate",-0.6,0.5,1,0
1,1,0.3,0,"hierarchical",-0.3,0.180277563773199,0.703113101598559,0
2,1,0.3,0,"shared",-0.1,0.0577350269189626,0.590031888462406,0.666666666666667
2,1,0.3,0,"separate",-0.011764705882353,0.0700140042014005,0.949023193051632,0.980392156862745
2,1,0.3,0,"hierarchical",-0.04,0.0658280588604383,0.918591988288022,0.866666666666667
4,1,0.3,0,"shared",-0.093103448275862,0.0557086014531156,0.613455750815158,0.689655172413793
4,1,0.3,0,"separate",-0.0106090373280943,0.0664863310766904,0.949118093779996,0.982318271119843
4,1,0.3,0,"hierarchical",-0.0364864864864866,0.0628705233213682,0.921328093622285,0.878378378378378
1,0.3,0,0.1,"shared",0,0.1,0.95,0
1,0.3,0,0.1,"separate",-0.3,0.5,1,0
1,0.3,0,0.1,"hierarchical",0,0.180277563773199,0.999589710443273,0
2,0.3,0,0.1,"shared",0.0152542372881356,0.0920574617898323,0.946848723499868,0.152542372881356
2,0.3,0,0.1,"separate",0.0272727272727273,0.21320071635561,0.968094054121139,0.818181818181818
2,0.3,0,0.1,"hierarchical",0.0369085173501577,0.143194734055407,0.986777984069685,0.369085173501577
4,0.3,0,0.1,"shared",0.0166666666666667,0.0912870929175277,0.946172835717124,0.166666666666667
4,0.3,0,0.1,"separate",0.0333333333333333,0.204124145231932,0.965463015704992,0.833333333333333
4,0.3,0,0.1,"hierarchical",0.0393939393939394,0.140345893053447,0.984609246002419,0.393939393939394
1,1,0,0.1,"shared",0,0.1,0.95,0
1,1,0,0.1,"separate",-0.3,0.5,1,0
1,1,0,0.1,"hierarchical",0,0.180277563773199,0.999589710443273,0
2,1,0,0.1,"shared",0.0666666666666667,0.0577350269189626,0.788745393433786,0.666666666666667
