"cell","method","n_ok","n_fail","bias","bias_mcse","emp_se","mod_se","coverage","cov_mcse","width","realized_pred","arm_C_bias","arm_B_bias","rho0","drho","cv_t","cv_lam","n_arm","gamma","arm","predicted","pred_arm_C","pred_arm_B"
9,"unweighted",1000,0,0.0525793888833421,0.00325754782961028,0.103012707285066,0.103619297902744,0.922,0.00848033018225116,0.40618018398541,0.0478619613600943,-0.00454194198017611,0.0485800540037781,0,0.4,0.3,0.2,250,0.2,"main",0.0485243848656148,0,0.0485243848656148
9,"weighted",1000,0,0.00482782954012008,0.00336135810370863,0.106295476391838,0.107486462224194,0.957,0.00641490451994416,0.421339189570092,0.0478619613600943,-0.00454194198017611,0.0485800540037781,0,0.4,0.3,0.2,250,0.2,"main",0.0485243848656148,0,0.0485243848656148
10,"sensitivity",1000,0,0.0368479098109701,0.0033481671182817,0.105878340806526,NA,0.963,0.00596917079668525,0.499282706924414,0.0362924274209935,-0.0151717022199598,0.0208952997983462,-0.2,0.4,0.3,0.2,250,0.2,"main",0.0366290717863061,-0.0120725812342692,0.0245564905520369
10,"weighted",1000,0,0.000947771081421857,0.00334109929166869,0.105654836504483,0.10488813388671,0.949,0.00695693898205238,0.411153929647133,0.0362924274209935,-0.0151717022199598,0.0208952997983462,-0.2,0.4,0.3,0.2,250,0.2,"main",0.0366290717863061,-0.0120725812342692,0.0245564905520369
10,"unweighted",1000,0,0.0368479098109701,0.0033481671182817,0.105878340806526,0.104356517603648,0.932,0.00796090447122687,0.409070032110339,0.0362924274209935,-0.0151717022199598,0.0208952997983462,-0.2,0.4,0.3,0.2,250,0.2,"main",0.0366290717863061,-0.0120725812342692,0.0245564905520369
10,"borrowed",1000,0,0.000461307380811016,0.00337309228132209,0.106666543669112,0.104974075150724,0.948,0.00702111102319284,0.411490813211641,0.0362924274209935,-0.0151717022199598,0.0208952997983462,-0.2,0.4,0.3,0.2,250,0.2,"main",0.0366290717863061,-0.0120725812342692,0.0245564905520369
11,"weighted",1000,0,-0.000518526946340286,0.00333585017489942,0.105488844857532,0.102672236488576,0.957,0.00641490451994416,0.402467771459575,0.0239300582496715,-0.0244773462200504,-0.00225253789701846,-0.4,0.4,0.3,0.2,250,0.2,"main",0.0242926925690446,-0.0242926925690446,0
11,"sensitivity",1000,0,0.0235356332732601,0.00342978733555747,0.108459398703618,NA,0.972,0.0052168956286282,0.503255627793688,0.0239300582496715,-0.0244773462200504,-0.00225253789701846,-0.4,0.4,0.3,0.2,250,0.2,"main",0.0242926925690446,-0.0242926925690446,0
11,"unweighted",1000,0,0.0235356332732601,0.00342978733555747,0.108459398703618,0.105338490392972,0.939,0.00756828910652864,0.412919294712088,0.0239300582496715,-0.0244773462200504,-0.00225253789701846,-0.4,0.4,0.3,0.2,250,0.2,"main",0.0242926925690446,-0.0242926925690446,0
11,"borrowed",1000,0,-0.000844090242580537,0.00334848478275363,0.105888386239156,0.102715410934935,0.95,0.00689202437604511,0.402637012179407,0.0239300582496715,-0.0244773462200504,-0.00225253789701846,-0.4,0.4,0.3,0.2,250,0.2,"main",0.0242926925690446,-0.0242926925690446,0
12,"unweighted",1000,0,0.0114929709026326,0.00337220835746828,0.10663859154255,0.106353751490599,0.951,0.00682634602111555,0.416899045084593,0.0112171783100325,-0.0360708994825709,-0.0258626440071847,-0.6,0.4,0.3,0.2,250,0.2,"main",0.0114892590669012,-0.0366639843715915,-0.0251747253046903
12,"borrowed",1000,0,-0.000371537924956788,0.00322563785947082,0.102003625427979,0.10075766980763,0.952,0.00675988165576884,0.394962807978269,0.0112171783100325,-0.0360708994825709,-0.0258626440071847,-0.6,0.4,0.3,0.2,250,0.2,"main",0.0114892590669012,-0.0366639843715915,-0.0251747253046903
12,"sensitivity",1000,0,0.0114929709026326,0.00337220835746828,0.10663859154255,NA,0.978,0.00463853425124791,0.506762863706298,0.0112171783100325,-0.0360708994825709,-0.0258626440071847,-0.6,0.4,0.3,0.2,250,0.2,"main",0.0114892590669012,-0.0366639843715915,-0.0251747253046903
12,"weighted",1000,0,0.000351449718375418,0.00319054038098491,0.100893745706537,0.100695622170782,0.954,0.00662449998113065,0.394719585711171,0.0112171783100325,-0.0360708994825709,-0.0258626440071847,-0.6,0.4,0.3,0.2,250,0.2,"main",0.0114892590669012,-0.0366639843715915,-0.0251747253046903
13,"unweighted",1000,0,0.0020147270606278,0.00328419089790426,0.10385523508171,0.105202066682697,0.957,0.00641490451994416,0.412384523594536,-0.00029356502314928,-0.00388724425181222,-0.00634414345399459,0,0,0.6,0.2,250,0.2,"main",0,0,0
13,"borrowed",1000,0,0.0031233112454792,0.00331931980930502,0.104966108799196,0.105138702016488,0.952,0.00675988165576884,0.41213613866721,-0.00029356502314928,-0.00388724425181222,-0.00634414345399459,0,0,0.6,0.2,250,0.2,"main",0,0,0
13,"sensitivity",1000,0,0.0020147270606278,0.00328419089790426,0.10385523508171,NA,0.996,0.00199599599197994,0.599256148178181,-0.00029356502314928,-0.00388724425181222,-0.00634414345399459,0,0,0.6,0.2,250,0.2,"main",0,0,0
13,"weighted",1000,0,0.00239422209612047,0.00323245544085025,0.102219216280905,0.105149404334051,0.955,0.00655553201502365,0.412178090981159,-0.00029356502314928,-0.00388724425181222,-0.00634414345399459,0,0,0.6,0.2,250,0.2,"main",0,0,0
