"cell","ratio","skew","floor_mass","m","method","n","truth_mean","truth_near","truth_tail","bias_mean","mcse_mean","rmse_mean","bias_near","mcse_near","rmse_near","bias_tail","mcse_tail","rmse_tail"
15,1,"moderate",0,1,"normal_arm_sd",1000,6.00059645222525,0.259335,0.210965,-0.0171096957312491,0.0217747820405778,0.688447335291357,-0.026700884352188,0.000839787362502391,0.0376493664832945,0.0172084430079508,0.00096165218815147,0.0349282216381456
16,2,"moderate",0,1,"logistic_responder",1000,5.9871283545774,0.157245,0.2435375,-0.0261348439488351,0.035009297977834,1.10684611578308,-0.00284173480056351,0.00147196596525253,0.0466110778220765,-0.00642065629710977,0.00157195080200196,0.0500977356961003
16,2,"moderate",0,1,"normal_arm_sd",1000,5.9871283545774,0.157245,0.2435375,-0.0261348439488351,0.035009297977834,1.10684611578308,-0.0052237174088786,0.00100355351469316,0.03214653575059,0.0396092639675556,0.00114584581337735,0.0536706945870637
16,2,"moderate",0,1,"tobit",1000,5.9871283545774,0.157245,0.2435375,-0.0261348439488351,0.035009297977834,1.10684611578308,-0.0052237174088786,0.00100355351469316,0.03214653575059,0.0396092639675556,0.00114584581337735,0.0536706945870637
16,2,"moderate",0,1,"normal_pooled",1000,5.9871283545774,0.157245,0.2435375,-0.0261348439488351,0.035009297977834,1.10684611578308,0.0309436420478207,0.000925451622836349,0.0425806673114441,-0.0547097043246213,0.00116430683678059,0.0659348659439854
17,1,"none",0.1,1,"logistic_responder",1000,5.95198282400154,0.24143,0.232335,0.0140086980129057,0.0217681716673645,0.688168357353145,-0.00164387494193648,0.00124189697821509,0.0392869968465394,0.000212508348340243,0.00157833739921235,0.0498869016536883
17,1,"none",0.1,1,"normal_pooled",1000,5.95198282400154,0.24143,0.232335,0.0140086980129057,0.0217681716673645,0.688168357353145,0.0157496842598318,0.000969969858129159,0.0344666975272917,0.00169864999827674,0.000886001501145297,0.0280552860115225
17,1,"none",0.1,1,"normal_arm_sd",1000,5.95198282400154,0.24143,0.232335,0.0140086980129057,0.0217681716673645,0.688168357353145,0.0145289775872847,0.000977179971203989,0.0341323454388638,0.00521400640517358,0.000903778683332894,0.0290376472072323
17,1,"none",0.1,1,"tobit",1000,5.95198282400154,0.24143,0.232335,0.0295760585055713,0.0221866034129032,0.701874539264085,0.00210405269034633,0.00092800531171306,0.0294067968747505,0.000393373825515349,0.000932540619957836,0.0294774001368858
18,2,"none",0.1,1,"logistic_responder",1000,6.31005429011504,0.1665175,0.287205,-0.194478457606058,0.0328670180437683,1.05687393036593,-0.00378543530760023,0.00144120850237596,0.0457092374235392,-0.00209032050572161,0.00162377991101022,0.0513652993568382
