"margin","link","gamma","r","n","label","mean","sd","truth_family","truth","error","rmse"
"beta","log",0.3,0.6,4096,"log:0.3",1.21008776569426,0.0816972659545903,"gauss",1.20465650272522,0,0.0818776030541559
"beta","logit",0.15,0.6,64,"logit:0.15",-0.25883420838749,0.0096152664173557,"gumbel",-0.270413590145039,0.0112058027532947,0.015051093985614
"beta","logit",0.15,0.6,64,"logit:0.15",-0.25883420838749,0.0096152664173557,"gauss",-0.259207787391744,0,0.00962252095602539
"beta","logit",0.15,0.6,64,"logit:0.15",-0.25883420838749,0.0096152664173557,"t3",-0.266019676509164,0.00681188911741953,0.0120035120029232
"beta","logit",0.15,0.6,64,"logit:0.15",-0.25883420838749,0.0096152664173557,"clayton",-0.244827307910887,-0.0143804794808568,0.0169896029747075
"beta","logit",0.15,0.6,256,"logit:0.15",-0.258815396392565,0.00349002810517408,"gumbel",-0.270413590145039,0.0112058027532947,0.0121119112651485
"beta","logit",0.15,0.6,256,"logit:0.15",-0.258815396392565,0.00349002810517408,"gauss",-0.259207787391744,0,0.00351201749300052
"beta","logit",0.15,0.6,256,"logit:0.15",-0.258815396392565,0.00349002810517408,"t3",-0.266019676509164,0.00681188911741953,0.00800512012235475
"beta","logit",0.15,0.6,256,"logit:0.15",-0.258815396392565,0.00349002810517408,"clayton",-0.244827307910887,-0.0143804794808568,0.0144168968764488
"beta","logit",0.15,0.6,1024,"logit:0.15",-0.25911483966908,0.000928815069751085,"gumbel",-0.270413590145039,0.0112058027532947,0.0113368628708202
"beta","logit",0.15,0.6,1024,"logit:0.15",-0.25911483966908,0.000928815069751085,"gauss",-0.259207787391744,0,0.000933454183634706
"beta","logit",0.15,0.6,1024,"logit:0.15",-0.25911483966908,0.000928815069751085,"t3",-0.266019676509164,0.00681188911741953,0.00696702728729968
"beta","logit",0.15,0.6,1024,"logit:0.15",-0.25911483966908,0.000928815069751085,"clayton",-0.244827307910887,-0.0143804794808568,0.0143176904972544
"beta","logit",0.15,0.6,4096,"logit:0.15",-0.259123011425162,0.000292479603334658,"gumbel",-0.270413590145039,0.0112058027532947,0.0112943663898471
"beta","logit",0.15,0.6,4096,"logit:0.15",-0.259123011425162,0.000292479603334658,"gauss",-0.259207787391744,0,0.000304518115843236
"beta","logit",0.15,0.6,4096,"logit:0.15",-0.259123011425162,0.000292479603334658,"t3",-0.266019676509164,0.00681188911741953,0.00690286415911974
"beta","logit",0.15,0.6,4096,"logit:0.15",-0.259123011425162,0.000292479603334658,"clayton",-0.244827307910887,-0.0143804794808568,0.0142986951602732
"beta","logit",0.3,0.6,1024,"logit:0.3",-0.161805422536333,0.00138259278575803,"gauss",-0.161708498557292,0,0.00138598595553609
"beta","logit",0.3,0.6,1024,"logit:0.3",-0.161805422536333,0.00138259278575803,"gumbel",-0.185166683530251,0.0234581849729593,0.0234021383218967
"beta","logit",0.3,0.6,1024,"logit:0.3",-0.161805422536333,0.00138259278575803,"clayton",-0.127878838411987,-0.0338296601453046,0.033954744486707
"beta","logit",0.3,0.6,1024,"logit:0.3",-0.161805422536333,0.00138259278575803,"t3",-0.172467022462335,0.010758523905043,0.0107508732572455
"beta","logit",0.3,0.6,4096,"logit:0.3",-0.161732997987113,0.000446003711270417,"gauss",-0.161708498557292,0,0.000446676093526998
"beta","logit",0.3,0.6,4096,"logit:0.3",-0.161732997987113,0.000446003711270417,"gumbel",-0.185166683530251,0.0234581849729593,0.0234379294615617
"beta","logit",0.3,0.6,4096,"logit:0.3",-0.161732997987113,0.000446003711270417,"clayton",-0.127878838411987,-0.0338296601453046,0.0338570973334774
"beta","logit",0.3,0.6,4096,"logit:0.3",-0.161732997987113,0.000446003711270417,"t3",-0.172467022462335,0.010758523905043,0.0107432863103025
"beta","logit",0.3,0.6,64,"logit:0.3",-0.161136158693876,0.0138414941621366,"gauss",-0.161708498557292,0,0.0138533221127539
