"margin","r","link","gamma","truth_family","recon","truth","error","mcse","env_lo","env_hi","contained"
"beta",0.3,"identity",0.15,"clayton","gumbel",-0.5,0,6.60714855840077e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"gauss","gauss",-0.5,0,9.61481343191782e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"gauss","gauss_uncal",-0.5,-5.55111512312578e-17,7.51624540813822e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"t3","sclayton",-0.5,-5.55111512312578e-17,2.77555756156289e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"t3","gumbel",-0.5,-5.55111512312578e-17,5.31478809715679e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"t3","gauss",-0.5,0,7.16645880824876e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"gumbel","gauss",-0.5,5.55111512312578e-17,8.32667268468867e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"clayton","gauss",-0.5,5.55111512312578e-17,8.1710202181505e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"clayton","gauss_uncal",-0.5,0,5.55111512312578e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"gauss","sgumbel",-0.5,-5.55111512312578e-17,8.1710202181505e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"t3","clayton",-0.5,-5.55111512312578e-17,5.06745162040676e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"clayton","sgumbel",-0.5,0,6.40987562127855e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"clayton","sclayton",-0.5,0,4.80740671595891e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"t3","gauss_uncal",-0.5,-5.55111512312578e-17,3.92523114670944e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"gumbel","gauss_uncal",-0.5,0,5.7777838054666e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"gauss","sclayton",-0.5,-5.55111512312578e-17,6.98500001845454e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"gauss","gumbel",-0.5,-5.55111512312578e-17,8.32667268468867e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"gumbel","sclayton",-0.5,0,5.06745162040676e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"gumbel","sgumbel",-0.5,0,6.60714855840077e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"gumbel","clayton",-0.5,0,6.60714855840077e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.15,"gauss","clayton",-0.5,-5.55111512312578e-17,8.1710202181505e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"gauss","gauss",-0.5,0,8.77708367144175e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"gauss","gauss_uncal",-0.5,-1.11022302462516e-16,7.68517089126034e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"gumbel","gauss",-0.5,2.22044604925031e-16,6.98500001845454e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"t3","clayton",-0.5,-1.11022302462516e-16,8.32667268468868e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"t3","sclayton",-0.5,-1.11022302462516e-16,3.92523114670944e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"clayton","gauss",-0.5,1.11022302462516e-16,1.00074151062168e-16,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"gauss","gumbel",-0.5,-2.22044604925031e-16,6.98500001845454e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"gumbel","sgumbel",-0.5,1.11022302462516e-16,5.06745162040676e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"clayton","gumbel",-0.5,-1.11022302462516e-16,8.47946841437934e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"gauss","sclayton",-0.5,-1.11022302462516e-16,6.79869977755259e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"gauss","sgumbel",-0.5,-1.11022302462516e-16,7.34343505744026e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"t3","sgumbel",-0.5,-1.11022302462516e-16,4.80740671595891e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"gauss","clayton",-0.5,-1.11022302462516e-16,1.00074151062168e-16,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"clayton","sgumbel",-0.5,0,8.77708367144175e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"t3","gauss_uncal",-0.5,-1.11022302462516e-16,5.31478809715679e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"t3","gauss",-0.5,0,6.79869977755259e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"t3","gumbel",-0.5,-2.22044604925031e-16,4.23973420718967e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"clayton","sclayton",-0.5,0,8.32667268468868e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"gumbel","gauss_uncal",-0.5,1.11022302462516e-16,5.55111512312578e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"gumbel","clayton",-0.5,1.11022302462516e-16,8.47946841437934e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"clayton","gauss_uncal",-0.5,0,9.06493303673679e-17,-0.5,-0.5,TRUE
"beta",0.3,"identity",0.3,"gumbel","sclayton",-0.5,1.11022302462516e-16,4.23973420718967e-17,-0.5,-0.5,TRUE
"beta",0.3,"log",0.15,"clayton","gumbel",-0.0761227891312062,0.363604194896268,0.00225284521625781,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"gauss","clayton",0.0344519943350256,-0.110574783466232,0.00242918910744648,-0.0761227891312062,0.287481405765062,TRUE
