"margin","r","family","label","value","batch_sd","link","gamma"
"beta",0.6,"gumbel","logit:0.3",-0.185166683530251,0.000505851610607059,"logit",0.3
"beta",0.6,"gumbel","log:0.15",0.442925766544516,0.0126737411275702,"log",0.15
"beta",0.6,"gumbel","log:0.3",1.63351765341425,0.0305434319711176,"log",0.3
"beta",0.6,"gumbel","cloglog:0.15",-0.297180731566727,0.000396666524753422,"cloglog",0.15
"beta",0.6,"gumbel","cloglog:0.3",-0.271266575738323,0.000381435423143577,"cloglog",0.3
"beta",0.6,"sclayton","identity:0.15",-0.5,9.61481343191782e-17,"identity",0.15
"beta",0.6,"sclayton","identity:0.3",-0.5,9.06493303673679e-17,"identity",0.3
"beta",0.6,"sclayton","logit:0.15",-0.271173237353958,0.000277966652479972,"logit",0.15
"beta",0.6,"sclayton","logit:0.3",-0.189427620092018,0.000425508851963387,"logit",0.3
"beta",0.6,"sclayton","log:0.15",0.458372542870143,0.00529889789025426,"log",0.15
"beta",0.6,"sclayton","log:0.3",1.65781470843635,0.0164179546273577,"log",0.3
"beta",0.6,"sclayton","cloglog:0.15",-0.299408390656241,0.000282770195858907,"cloglog",0.15
"beta",0.6,"sclayton","cloglog:0.3",-0.277181966843366,0.000401591451323925,"cloglog",0.3
"beta",0.6,"sgumbel","identity:0.15",-0.5,2.9373740229761e-16,"identity",0.15
"beta",0.6,"sgumbel","identity:0.3",-0.5,1.60246890531964e-16,"identity",0.3
"beta",0.6,"sgumbel","logit:0.15",-0.25372487487846,0.000394794598756245,"logit",0.15
"beta",0.6,"sgumbel","logit:0.3",-0.147286756427656,0.000481920625316674,"logit",0.3
"beta",0.6,"sgumbel","log:0.15",0.155194601518927,0.00268755325914593,"log",0.15
"beta",0.6,"sgumbel","log:0.3",0.971840292023299,0.0100541766974913,"log",0.3
"beta",0.6,"sgumbel","cloglog:0.15",-0.274975758472139,0.000345519309881449,"cloglog",0.15
"beta",0.6,"sgumbel","cloglog:0.3",-0.234847382197464,0.000463795107347694,"cloglog",0.3
"beta",0.6,"t3","identity:0.15",-0.5,1.15555676109332e-16,"identity",0.15
"beta",0.6,"t3","identity:0.3",-0.5,1.72591183069093e-16,"identity",0.3
"beta",0.6,"t3","logit:0.15",-0.266019676509164,0.000288245506548963,"logit",0.15
"beta",0.6,"t3","logit:0.3",-0.172467022462335,0.000313763536069235,"logit",0.3
"beta",0.6,"t3","log:0.15",0.378852418579043,0.00954317295556485,"log",0.15
"beta",0.6,"t3","log:0.3",1.50550437838767,0.025194983528843,"log",0.3
"beta",0.6,"t3","cloglog:0.15",-0.289890304254852,0.000193141408570642,"cloglog",0.15
"beta",0.6,"t3","cloglog:0.3",-0.256727999166323,0.000204679936407784,"cloglog",0.3
"beta",0.6,"gauss_uncal","identity:0.15",-0.5,9.61481343191782e-17,"identity",0.15
"beta",0.6,"gauss_uncal","identity:0.3",-0.5,9.06493303673679e-17,"identity",0.3
"beta",0.6,"gauss_uncal","logit:0.15",-0.259971268570481,0.000101348171798298,"logit",0.15
"beta",0.6,"gauss_uncal","logit:0.3",-0.162640244147794,0.000250515297801561,"logit",0.3
"beta",0.6,"gauss_uncal","log:0.15",0.255330853759684,0.00656908813209675,"log",0.15
"beta",0.6,"gauss_uncal","log:0.3",1.20854445912135,0.0190690055297797,"log",0.3
"beta",0.6,"gauss_uncal","cloglog:0.15",-0.283924808834129,0.000146044508582937,"cloglog",0.15
"beta",0.6,"gauss_uncal","cloglog:0.3",-0.250551330793175,0.000349541959095072,"cloglog",0.3
