"cell","scale","p_ipd","sep","beta","method","truth","n","bias","mcse","emp_sd","se_ratio","coverage","rmse","pred_b1"
9,"continuous",0.5,0.5,0,"transported",-0.3,1000,-0.000435531620555234,0.00125573038918981,0.0397096815692949,0.996355958235001,0.945,0.0396922113180529,0
9,"continuous",0.5,0.5,0,"two_stage_marg",-0.3,1000,-5.45263133674631e-05,0.00116143796286238,0.0367278932363117,1.03014289899225,0.957,0.0367095651915843,0
10,"binary",0.5,0.5,0,"transported",-0.283750587439143,1000,0.00111372521566373,0.00253188173427504,0.0800651304648633,0.968842262266332,0.929,0.0800328374799696,-0.000372682571688016
10,"binary",0.5,0.5,0,"two_stage_cond",-0.283750587439143,1000,-0.00642049017418454,0.00232858865831192,0.0736364389390124,1.02576329752544,0.951,0.0738791276921708,-0.000372682571688016
10,"binary",0.5,0.5,0,"two_stage_marg",-0.283750587439143,1000,0.00222452330856621,0.00228404229027033,0.0722277590940169,1.02201153628885,0.955,0.0722259014378494,-0.000372682571688016
11,"continuous",0.75,0.5,0,"two_stage_marg",-0.3,1000,-0.000529080600539154,0.00118803332799675,0.0375689125265961,0.988429807466929,0.948,0.0375538505552288,0
11,"continuous",0.75,0.5,0,"transported",-0.3,1000,-0.00072870508294356,0.00122670118546311,0.0387916975449207,0.9644536649196,0.947,0.0387791440560012,0
11,"continuous",0.75,0.5,0,"two_stage_cond",-0.3,1000,-0.000529080600539154,0.00118803332799675,0.0375689125265961,0.988429807466929,0.948,0.0375538505552288,0
12,"binary",0.75,0.5,0,"two_stage_marg",-0.283750587439143,1000,-0.00085557101891834,0.00235521673110326,0.0744784925362263,0.986757884486007,0.95,0.0744461604542951,-0.000186341285844008
12,"binary",0.75,0.5,0,"two_stage_cond",-0.283750587439143,1000,-0.0146488657636813,0.00244419509706867,0.0772922355255335,0.984750140849477,0.949,0.0786301777374588,-0.000186341285844008
12,"binary",0.75,0.5,0,"transported",-0.283750587439143,1000,-0.000403166609344225,0.00243930425808963,0.0771375736171045,0.960821050393391,0.944,0.0771000492969075,-0.000186341285844008
13,"continuous",0.25,1,0,"two_stage_cond",-0.3,1000,0.000877313338427472,0.00121675829480953,0.0384772757350076,1.02597552529778,0.956,0.0384680377187815,0
13,"continuous",0.25,1,0,"two_stage_marg",-0.3,1000,0.000877313338427472,0.00121675829480953,0.0384772757350076,1.02597552529778,0.956,0.0384680377187815,0
13,"continuous",0.25,1,0,"transported",-0.3,1000,0.000221794622448968,0.0023068467177014,0.0729488984081988,0.908536585424778,0.925,0.0729127521771417,0
14,"binary",0.25,1,0,"transported",-0.283750587439143,1000,0.00837495125678703,0.0044346853340909,0.14023706361872,0.93568999818643,0.935,0.140416905630847,-0.00133091021175827
14,"binary",0.25,1,0,"two_stage_cond",-0.283750587439143,1000,-0.000536559117917569,0.00246575617586619,0.0779740567036387,1.0110468643622,0.953,0.0779369069247072,-0.00133091021175827
14,"binary",0.25,1,0,"two_stage_marg",-0.283750587439143,1000,0.00380992844002361,0.00244189312042789,0.0772194406324797,1.01363099407083,0.953,0.0772748000599132,-0.00133091021175827
15,"continuous",0.5,1,0,"transported",-0.3,1000,-0.00267265400061084,0.00175000026258256,0.0553398673565364,0.845904264572566,0.9,0.0553767234271492,0
15,"continuous",0.5,1,0,"two_stage_marg",-0.3,1000,-0.00219516807022583,0.0013097209276933,0.0414170123069954,0.95350647887343,0.937,0.0414544605849106,0
15,"continuous",0.5,1,0,"two_stage_cond",-0.3,1000,-0.00219516807022583,0.0013097209276933,0.0414170123069954,0.95350647887343,0.937,0.0414544605849106,0
16,"binary",0.5,1,0,"two_stage_marg",-0.283750587439143,1000,0.00156626490358028,0.00256804350225934,0.0812086659753529,0.970803437932602,0.941,0.0811831618490874,-0.000887273474505512
16,"binary",0.5,1,0,"transported",-0.283750587439143,1000,0.000294731040120255,0.00342808486679546,0.108405561914286,0.866056500630951,0.918,0.108351746430245,-0.000887273474505512
16,"binary",0.5,1,0,"two_stage_cond",-0.283750587439143,1000,-0.0070136161217355,0.00260222729657721,0.0822896524664647,0.972693667270064,0.949,0.0825469934476814,-0.000887273474505512
