"cell","gu","p_t","delta","bstar","dir","q","width","n","excluded","flip","fr_grid","ff_grid","fr_prob","ff_prob","fr_none","ff_none","qba_mc_disagree"
15,0.5,0.5,0.1,0.0948723917686763,"symmetric",0.3,0.05,2000,0.3115,0.165,0.0515151515151515,0.147904191616766,0,0.836526946107784,1,0,0.0165
16,1,0.5,0.1,0.186853393580291,"symmetric",0.3,0.05,2000,0.3115,0.2545,0.0333988212180747,0.183769282360832,0,0.826291079812207,1,0,0.015
17,0.5,0.7,0.1,0.188320960547489,"symmetric",0.3,0.05,2000,0.3055,0.2415,0.0248447204968944,0.163480553724456,0,0.814106789716546,1,0,0.0125
18,1,0.7,0.1,0.372194219158153,"symmetric",0.3,0.05,2000,0.2995,0.282,0.0141843971631206,0.158077994428969,0,0.807103064066852,1,0,0.0145
1,0.5,0.3,-0.3,0,"understated",0.3,0.05,2000,0.298,0,NA,0.068,NA,0.557,1,0,0.0175
2,1,0.3,-0.3,0,"understated",0.3,0.05,2000,0.2945,0,NA,0.0725,NA,0.561,1,0,0.017
3,0.5,0.5,-0.3,0.0948723917686763,"understated",0.3,0.05,2000,0.298,0.1035,0.0628019323671498,0.0284439486893475,0,0.58505298382599,1,0,0.019
4,1,0.5,-0.3,0.186853393580291,"understated",0.3,0.05,2000,0.3,0.256,0.029296875,0.010752688172043,0,0.528897849462366,1,0,0.019
5,0.5,0.7,-0.3,0.188320960547489,"understated",0.3,0.05,2000,0.2985,0.235,0.0234042553191489,0.0235294117647059,0,0.531372549019608,1,0,0.0195
6,1,0.7,-0.3,0.372194219158153,"understated",0.3,0.05,2000,0.289,0.6615,0.0090702947845805,0.0236336779911374,0,0.174298375184638,1,0,0.002
7,0.5,0.3,-0.1,0,"understated",0.3,0.05,2000,0.2885,0,NA,0.197,NA,0.8605,1,0,0.0125
8,1,0.3,-0.1,0,"understated",0.3,0.05,2000,0.291,0,NA,0.204,NA,0.856,1,0,0.011
9,0.5,0.5,-0.1,0.0948723917686763,"understated",0.3,0.05,2000,0.2945,0.203,0.0862068965517241,0.0683814303638645,0,0.85633626097867,1,0,0.0145
10,1,0.5,-0.1,0.186853393580291,"understated",0.3,0.05,2000,0.317,0.432,0.0601851851851852,0.0748239436619718,0,0.816021126760563,1,0,0.0065
11,0.5,0.7,-0.1,0.188320960547489,"understated",0.3,0.05,2000,0.307,0.4145,0.0313630880579011,0.0520922288642186,0,0.82066609735269,1,0,0.0105
12,1,0.7,-0.1,0.372194219158153,"understated",0.3,0.05,2000,0.2895,0.6525,0.0291187739463602,0.113669064748201,0,0.807194244604317,1,0,0.0025
13,0.5,0.3,0.1,0,"understated",0.3,0.05,2000,0.299,0,NA,0.2115,NA,0.8465,1,0,0.0105
14,1,0.3,0.1,0,"understated",0.3,0.05,2000,0.311,0,NA,0.1955,NA,0.856,1,0,0.0165
