"cell","res","table","cens","ctrl","method","estimand","n_rep","err_bias","err_mcse","err_rmse","sd_theta","ratio_var","ratio_mcse","ratio_mse","recon_cov90","pop_cov","width_vs_oracle","inflation","materiality"
10,"coarse",6,"clustered","none","draws","s48",300,0.00150922145295056,0.000264534819525565,0.00481678024677602,0.0280839235055578,0.528716940087692,0.0560586420727816,0.478405872967558,0.696666666666667,0.946666666666667,1.01710095842616,0.00671346682461982,0.171513793142998
10,"coarse",6,"clustered","none","oracle","s48",300,0,0,0,0.0280839235055578,NA,NA,NA,NA,0.943333333333333,1,NA,0
10,"coarse",6,"clustered","none","single","s48",300,-0.00208789081947235,0.000254233874053161,0.00486673525334433,0.0280839235055578,NA,NA,NA,NA,0.926666666666667,0.99781437650945,NA,0.173292569052226
11,"fine",0,"clustered","none","single","rmst24",300,0.00690818650315971,0.000325760226493859,0.00891363217700123,0.555676962374961,NA,NA,NA,NA,0.926666666666667,1.02039287888624,NA,0.0160410324352919
11,"fine",0,"clustered","none","variants","rmst24",300,0.191320291574968,0.00113989687186383,0.192332951069227,0.555676962374961,43.3272238433368,3.47303736378241,0.456568400982902,0.706666666666667,0.926666666666667,1.01842765969738,0.0304793599998758,0.346123672731
11,"fine",0,"clustered","none","draws","rmst24",300,-0.000779628139926576,0.000102841006916291,0.00194168112081485,0.555676962374961,11.2885011856362,1.0208427588688,9.50023530364496,1,0.926666666666667,1.02176029736805,6.14104661071924e-05,0.00349426240835343
11,"fine",0,"clustered","none","oracle","rmst24",300,0,0,0,0.555676962374961,NA,NA,NA,NA,0.923333333333333,1,NA,0
11,"fine",0,"clustered","none","single","s12",300,0.00017684086801831,0.000112283906209703,0.00194960706172311,0.0312220049795332,NA,NA,NA,NA,0.95,1.03243731981635,NA,0.0624433652803886
11,"fine",0,"clustered","none","variants","s12",300,0.00649920028730107,0.000176577503538215,0.007180690021609,0.0312220049795332,4.6394954491968,0.483297998150925,0.841647802724353,0.82,0.936666666666667,1.02360021292629,0.0227517135390221,0.229988113393618
11,"fine",0,"clustered","none","draws","s12",300,2.4897786735439e-05,5.83821695633186e-05,0.00100982906421702,0.0312220049795332,3.12448067093366,0.467717031924819,3.13302474289121,1,0.946666666666667,1.03501817724472,0.00158850615314776,0.0323435046813614
11,"fine",0,"clustered","none","oracle","s12",300,0,0,0,0.0312220049795332,NA,NA,NA,NA,0.936666666666667,1,NA,0
11,"fine",0,"clustered","none","single","s48",300,0.000245139313878629,0.000328198122686277,0.00568036808630506,0.028803940361195,NA,NA,NA,NA,0.913333333333333,0.964255226355442,NA,0.197208021370497
11,"fine",0,"clustered","none","variants","s48",300,0.0128719411479666,0.00101264736471028,0.0217324140354417,0.028803940361195,0.788278427191865,0.0452019126537497,0.51345386695492,0.486666666666667,0.91,1.04434722684588,0.168272050859918,0.754494481064813
11,"fine",0,"clustered","none","draws","s48",300,0.000668799960267985,0.000313138768016186,0.00545582293602241,0.028803940361195,0.256841367110752,0.0272335213147121,0.253827907967336,0.61,0.916666666666667,0.968923532523766,0.00495343012791838,0.189412381348094
11,"fine",0,"clustered","none","oracle","s48",300,0,0,0,0.028803940361195,NA,NA,NA,NA,0.913333333333333,1,NA,0
12,"coarse",0,"clustered","none","oracle","s12",300,0,0,0,0.0300486285637177,NA,NA,NA,NA,0.963333333333333,1,NA,0
12,"coarse",0,"clustered","none","single","rmst24",300,0.0390240373198007,0.000657303040905495,0.0406455117783587,0.519304052394889,NA,NA,NA,NA,0.96,1.01867122266014,NA,0.0782691981526289
