"cell","k","bias_max","mcse_max","bias_int","mcse_int","exact_max","exact_int","cover_max","cover_int","cover_bnd","width_bnd","width_max","pattern","strength","similarity","separation"
31,3,0.127743182767923,0.00501546692423477,0.236425760598467,0.00435371962002346,0.127359910582154,0.236962271116191,0.853,0.606,0.984,0.783005290098773,0.629593806789602,"fawsitt",0.25,"dispersed","tied"
31,4,0.0116620797484691,0.00322511187249193,0.104273473887293,0.00319407332739927,0.0181182387851444,0.111690086165473,0.972,0.873,0.92,0.596056204882014,0.454904610845338,"fawsitt",0.25,"dispersed","tied"
31,1,-0.00216641790920391,0.00519020344360203,0.448872370795328,0.0035027102293891,0,0.451116708355264,0.965,0.028,0.965,0.706798905216279,0.706811893050679,"fawsitt",0.25,"dispersed","tied"
31,2,0.221076894103223,0.00725965463901756,0.357244535011031,0.00622389731010706,0.229805578856541,0.368535905647537,0.787,0.515,0.958,1.02631309432649,0.872906081937476,"fawsitt",0.25,"dispersed","tied"
32,4,0.173233952913014,0.00392342969333462,0.302228754131779,0.00328811504382928,0.169871988184744,0.295325267961491,0.71,0.175,0.977,0.637152022979688,0.500212476660726,"random",0.25,"dispersed","tied"
32,3,0.0885461192652338,0.00502439799647408,0.237625379752696,0.00428896091279953,0.0831385615467173,0.232552052135729,0.902,0.578,0.984,0.799544261697094,0.656930033898553,"random",0.25,"dispersed","tied"
32,1,0.108262683633936,0.00477797053635187,0.29596093197425,0.00444519252537484,0.105147666698323,0.292973338525867,0.888,0.433,0.972,0.74973781312117,0.62180147539544,"random",0.25,"dispersed","tied"
32,2,0.314411877031652,0.00540440700950999,0.423189800449868,0.00461809214573927,0.313863019227359,0.416518110809471,0.516,0.183,0.912,0.737715717816822,0.653097190543587,"random",0.25,"dispersed","tied"
33,1,0.140450128677561,0.0121793732234321,0.403725439737636,0.00413546870046849,0.119906512328764,0.394354245918148,0.858,0.136,0.941,1.47705162260031,1.20178631185945,"adversarial",0.25,"dispersed","tied"
33,2,0.0140890620759598,0.00768569868693426,0.472306524673984,0.0042467488458682,0,0.463468072744695,0.938,0.075,0.938,0.895228741265744,0.895245191606224,"adversarial",0.25,"dispersed","tied"
33,3,0.0089945230831593,0.00397907087462712,0.134122852729785,0.00366681731541472,0,0.12182264360262,0.972,0.795,0.972,0.542072085804429,0.542082046689246,"adversarial",0.25,"dispersed","tied"
33,4,0.156834534475337,0.00344420203802912,0.380776136857485,0.00327006281896461,0.152695157832026,0.378225691661252,0.764,0.073,0.993,0.713032224876288,0.486437789598994,"adversarial",0.25,"dispersed","tied"
34,2,0.26206111347128,0.00489730942411408,0.533190619865808,0.00407990520409414,0.246656492386872,0.520814233192563,0.694,0.033,0.995,1.33845064703788,0.710596082866058,"fawsitt",0.5,"dispersed","tied"
34,3,-0.00529092544303155,0.00853857134230598,0.317264627840125,0.00537860415193246,-0.00598091444031972,0.320607254387288,0.936,0.583,0.995,1.70736129373235,1.07951350850479,"fawsitt",0.5,"dispersed","tied"
34,4,0.21789660947233,0.00403869028356165,0.538527783380095,0.00436890327720526,0.222591954755284,0.540043135025817,0.793,0.077,0.997,0.984526581882258,0.687531511906483,"fawsitt",0.5,"dispersed","tied"
34,1,0.00913841472853134,0.00726555251563129,-0.0982757595855607,0.00527412973880224,0,-0.0916270444090556,0.969,0.94,0.969,1.1380212511455,1.1380421629373,"fawsitt",0.5,"dispersed","tied"
35,2,0.414936739582088,0.00441066138608759,0.835832450263507,0.00398511165030007,0.415925608361788,0.839906313576235,0.303,0,0.892,0.863624859443591,0.68289169832223,"random",0.5,"dispersed","tied"
