"fpr","tpr","diagnostic","target"
0.0687278158779821,0.182444934588778,"ess","transport error"
0.0702809817542961,0.185821452877986,"ess","transport error"
0.0719587316916658,0.189231275748178,"ess","transport error"
0.0735722136946638,0.192727415984197,"ess","transport error"
0.0752559963828472,0.196142659526185,"ess","transport error"
0.0770476798916874,0.199633737453075,"ess","transport error"
0.0788958176397131,0.203070217866062,"ess","transport error"
0.0807570277628087,0.206529794607892,"ess","transport error"
0.082615283222271,0.210117704214157,"ess","transport error"
0.0844881941281633,0.213858390795725,"ess","transport error"
0.086330901737629,0.217511319466383,"ess","transport error"
0.0883797322808913,0.220994709234778,"ess","transport error"
0.0904028198544311,0.224700431234945,"ess","transport error"
0.0923702404825397,0.228543449660358,"ess","transport error"
0.0944278265670686,0.232256273446491,"ess","transport error"
0.0963722343686248,0.236197896679158,"ess","transport error"
0.0985557918104482,0.239716635122785,"ess","transport error"
0.100601085290861,0.243684180854289,"ess","transport error"
0.102654138626078,0.247558153292853,"ess","transport error"
0.10478052679482,0.251365433313856,"ess","transport error"
0.106856312280619,0.255190859373989,"ess","transport error"
0.108907466134231,0.259139638536516,"ess","transport error"
0.111187574751929,0.262589183410546,"ess","transport error"
0.113340035874839,0.266288697200158,"ess","transport error"
0.115466321301161,0.270149899078584,"ess","transport error"
0.117623845807687,0.273902908934741,"ess","transport error"
0.119803522323425,0.277594489093193,"ess","transport error"
0.122002048053882,0.281342927869998,"ess","transport error"
0.12416026419804,0.285095877139028,"ess","transport error"
0.126332731662392,0.28895013644842,"ess","transport error"
0.128743605925139,0.292499549084394,"ess","transport error"
0.13096560011508,0.296282580509264,"ess","transport error"
0.13322857820048,0.300039928936512,"ess","transport error"
0.135464037410759,0.303781141034809,"ess","transport error"
0.137687751811229,0.307620843422721,"ess","transport error"
0.139883275840662,0.311434540204819,"ess","transport error"
0.142353595420931,0.315032379715902,"ess","transport error"
0.144814503764162,0.318830125297122,"ess","transport error"
0.147205395543705,0.322905915842684,"ess","transport error"
0.149630718320086,0.326872266686571,"ess","transport error"
0.15219365640026,0.330687146962185,"ess","transport error"
0.154791178707422,0.334746204852818,"ess","transport error"
0.157430733477266,0.338963935840712,"ess","transport error"
0.160172407594624,0.343504764466341,"ess","transport error"
0.163113823325474,0.347790761105419,"ess","transport error"
0.166219418577632,0.352209803673911,"ess","transport error"
0.169283509361716,0.356740625911461,"ess","transport error"
0.17230774660842,0.361524623309741,"ess","transport error"
0.17541127076189,0.366110726951239,"ess","transport error"
0.178628791859725,0.370773161611473,"ess","transport error"
0.181851367774975,0.375438694905479,"ess","transport error"
0.185145034343151,0.379818595431886,"ess","transport error"
0.188425325653824,0.384334087432357,"ess","transport error"
0.191602343818041,0.388905842171178,"ess","transport error"
0.194631021564378,0.393722404929418,"ess","transport error"
0.19758502930143,0.398592587871017,"ess","transport error"
0.200685127291234,0.403125074421764,"ess","transport error"
0.203855982359871,0.407531261818847,"ess","transport error"
0.206915462279816,0.411956208670654,"ess","transport error"
0.210026192213794,0.416150233978939,"ess","transport error"
0.213226464572436,0.420239904326867,"ess","transport error"
0.216268131597213,0.424568944418593,"ess","transport error"
0.219149605088696,0.428921272524627,"ess","transport error"
0.222155209099357,0.433202798061583,"ess","transport error"
0.225125005971403,0.437272006553637,"ess","transport error"
0.228089761136946,0.441162397492142,"ess","transport error"
0.231079974947889,0.445095601076828,"ess","transport error"
0.233935471506853,0.449113655987205,"ess","transport error"
0.236869972217779,0.453105896219823,"ess","transport error"
0.239777878584385,0.456907214255419,"ess","transport error"
0.242617993142786,0.460544928106386,"ess","transport error"
0.245508209678892,0.463862427772753,"ess","transport error"
0.248224383110848,0.467580272159616,"ess","transport error"
0.250887729970594,0.47140932505906,"ess","transport error"
