"drift","shift","n_studies","spread","tau_re","systematic_bias","noise_sd","rmse","p_material_realized","p_material_if_no_noise","n"
1.2,0.5,6,0.25,0,0.10704425837802,0.0503173902876552,0.118066405983046,0.98,1,50
1.2,0.5,6,0.25,0.15,0.100867455538212,0.0497348895514833,0.112242289894128,0.9,1,50
1.2,0.5,6,0.6,0,0.105762726203109,0.0723398297203787,0.127726834293377,0.88,1,50
1.2,0.5,6,0.6,0.15,0.107811902122805,0.0792275052488402,0.133322405752121,0.92,1,50
1.2,0.5,12,0.25,0,0.118358912300132,0.038448338967289,0.124328361184514,1,1,50
1.2,0.5,12,0.25,0.15,0.112788287334768,0.0406868853566238,0.119764401835991,1,1,50
1.2,0.5,12,0.6,0,0.0994328354338083,0.0485780318982032,0.110451425712155,0.88,1,50
1.2,0.5,12,0.6,0.15,0.117947898614497,0.0573733147068826,0.130910542292138,0.94,1,50
1.2,1,6,0.25,0,0.214098958962744,0.0481863676649481,0.219348698963767,1,1,50
1.2,1,6,0.25,0.15,0.208574194695578,0.0483608284711182,0.213998105198886,1,1,50
1.2,1,6,0.6,0,0.212379377321312,0.0709298922085205,0.223686004318389,1,1,50
1.2,1,6,0.6,0.15,0.21440772846777,0.0779000153306774,0.22785459874108,1,1,50
1.2,1,12,0.25,0,0.225470821154793,0.0374713184697033,0.228501879436291,1,1,50
1.2,1,12,0.25,0.15,0.219941465765654,0.0394941919573488,0.223389444105,1,1,50
1.2,1,12,0.6,0,0.206590284378235,0.0482872943392912,0.212048520716833,1,1,50
1.2,1,12,0.6,0.15,0.2248706939613,0.056773173246013,0.231787744151951,1,1,50
1.2,1.5,6,0.25,0,0.316404712912154,0.0445142240195744,0.319458648607744,1,1,50
1.2,1.5,6,0.25,0.15,0.311893969896716,0.0455138641675448,0.315131607511474,1,1,50
1.2,1.5,6,0.6,0,0.314287636366067,0.0677090006712685,0.32135577942373,1,1,50
1.2,1.5,6,0.6,0.15,0.316056127637886,0.0749757276876018,0.324654290538252,0.98,1,50
1.2,1.5,12,0.25,0,0.327530817884431,0.0355100439616095,0.329411870796661,1,1,50
1.2,1.5,12,0.25,0.15,0.322115000980969,0.0373920921513541,0.324234913359614,1,1,50
1.2,1.5,12,0.6,0,0.30891525615522,0.0472842509239853,0.312441546314152,1,1,50
1.2,1.5,12,0.6,0.15,0.326562642879443,0.0554856543873873,0.331149882093211,1,1,50
