"rule","xvar","drift","n_studies","spread","tau_re","n","k","rate","lo","hi"
"flag_dic5","x2",0.6,12,0.25,0.15,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic5","x2",0.6,12,0.6,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic5","x2",0.6,12,0.6,0.15,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_dic5","x2",1.2,6,0.25,0,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic5","x2",1.2,6,0.25,0.15,50,10,0.2,0.112437499642348,0.33037106046482
"flag_dic5","x2",1.2,6,0.6,0,50,15,0.3,0.191035534303057,0.437503505768389
"flag_dic5","x2",1.2,6,0.6,0.15,50,13,0.26,0.158715274300896,0.395531573784839
"flag_dic5","x2",1.2,12,0.25,0,50,10,0.2,0.112437499642348,0.33037106046482
"flag_dic5","x2",1.2,12,0.25,0.15,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_dic5","x2",1.2,12,0.6,0,50,13,0.26,0.158715274300896,0.395531573784839
"flag_dic5","x2",1.2,12,0.6,0.15,50,19,0.38,0.258627892271457,0.51849553177141
"flag_margin","x1",0,6,0.25,0,50,24,0.48,0.347971351908999,0.614882552098145
"flag_margin","x1",0,6,0.25,0.15,50,24,0.48,0.347971351908999,0.614882552098145
"flag_margin","x1",0,6,0.6,0,50,8,0.16,0.083374206354009,0.285142161767449
"flag_margin","x1",0,6,0.6,0.15,50,9,0.18,0.0977019262304215,0.307960537883892
"flag_margin","x1",0,12,0.25,0,50,11,0.22,0.127539159145196,0.352415496954828
"flag_margin","x1",0,12,0.25,0.15,50,10,0.2,0.112437499642348,0.33037106046482
"flag_margin","x1",0,12,0.6,0,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_margin","x1",0,12,0.6,0.15,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_margin","x1",0.3,6,0.25,0,50,20,0.4,0.276083896444286,0.538185623591437
"flag_margin","x1",0.3,6,0.25,0.15,50,23,0.46,0.329696520988216,0.596011287026074
"flag_margin","x1",0.3,6,0.6,0,50,10,0.2,0.112437499642348,0.33037106046482
"flag_margin","x1",0.3,6,0.6,0.15,50,11,0.22,0.127539159145196,0.352415496954828
"flag_margin","x1",0.3,12,0.25,0,50,9,0.18,0.0977019262304215,0.307960537883892
