"cell","c_trunc","align","shape","b","method","bias","mcse","rmse","coverage","emp_sd","mean_se","ess_frac","unsup_mass","align_score"
24,1,"partial","linear",0.6,"gcomp",0.000937565617937268,0.00645396783317948,0.203992465841785,0.953,0.204092382983088,0.20538384839215,0.409239478611063,0.280745194767595,0.051428737193583
24,1,"partial","linear",0.6,"trimmed_vs_restricted",0.0117909425443441,0.00296671197520339,0.094507168458035,0.944,0.0938156700333968,0.093384890906421,0.409239478611063,0.280745194767595,0.051428737193583
25,Inf,"full","linear",0.6,"maic",-0.00329764708005365,0.00450146349761834,0.142315792950166,0.957,0.142348774565819,0.14238760396717,0.723653259704175,0.0114802997073318,0.00125396934475516
25,Inf,"full","linear",0.6,"gcomp",0.00799032097395576,0.00303217655994802,0.0961703999434042,0.941,0.0958858419720982,0.0969854857463196,0.723653259704175,0.0114802997073318,0.00125396934475516
25,Inf,"full","linear",0.6,"trimmed_vs_restricted",7.98364564531248e-05,0.00298013727227022,0.0941931171438359,0.943,0.0942402152033525,0.0956214357381606,0.723653259704175,0.0114802997073318,0.00125396934475516
26,1.5,"full","linear",0.6,"maic",-0.00471136824861989,0.00432442208933214,0.136763016824985,0.945,0.136750233662337,0.1384246885633,0.59086616855794,0.143933883324131,0.0424153750221616
26,1.5,"full","linear",0.6,"gcomp",0.00500532136636119,0.00403009686462795,0.127477418782804,0.954,0.127442852833276,0.128742336317024,0.59086616855794,0.143933883324131,0.0424153750221616
26,1.5,"full","linear",0.6,"trimmed_vs_restricted",0.0144097737468268,0.00305934579923963,0.0977644040642634,0.942,0.0967450087566546,0.0942194469538142,0.59086616855794,0.143933883324131,0.0424153750221616
27,1,"full","linear",0.6,"maic",-0.00479165617920783,0.00503926111013835,0.159347790548085,0.936,0.159355428323458,0.153349606071813,0.412628944823125,0.280764196215455,0.102663198364406
27,1,"full","linear",0.6,"gcomp",0.00432568558420668,0.00660401429100978,0.208777640821231,0.94,0.20883726859893,0.204391318310787,0.412628944823125,0.280764196215455,0.102663198364406
27,1,"full","linear",0.6,"trimmed_vs_restricted",0.0135766028327086,0.00292131846088794,0.093326799971133,0.953,0.0923802010710341,0.0933799505177025,0.412628944823125,0.280764196215455,0.102663198364406
28,Inf,"orthogonal","bent",0.6,"maic",0.00404059514326542,0.00525525049947709,0.16615163725812,0.963,0.166185612530851,0.180722522907815,0.724554570878675,0.0113340564349772,0.00174574047572272
28,Inf,"orthogonal","bent",0.6,"gcomp",0.0132543599285769,0.00299654173874226,0.0956345188033521,0.956,0.0947589699818675,0.097287221826587,0.724554570878675,0.0113340564349772,0.00174574047572272
28,Inf,"orthogonal","bent",0.6,"trimmed_vs_restricted",-0.0106575074208295,0.00300863256222393,0.0956890823919046,0.95,0.0951413153917589,0.095927175188758,0.724554570878675,0.0113340564349772,0.00174574047572272
29,1.5,"orthogonal","bent",0.6,"maic",-0.00140015490381751,0.00594264156788909,0.187834060407993,0.937,0.187922826725237,0.192247385183596,0.591755137712999,0.143846294743377,0.00693431625165345
29,1.5,"orthogonal","bent",0.6,"gcomp",0.0149552394361356,0.00392998078656164,0.12511180368116,0.949,0.124276904462348,0.128988100001789,0.591755137712999,0.143846294743377,0.00693431625165345
29,1.5,"orthogonal","bent",0.6,"trimmed_vs_restricted",-0.00566522491946634,0.00308308558526038,0.0976115058930168,0.936,0.0974957267065605,0.0942591602792498,0.591755137712999,0.143846294743377,0.00693431625165345
30,1,"orthogonal","bent",0.6,"maic",-0.00558546113243179,0.00695953820000732,0.220040755682818,0.945,0.220079921749716,0.224367341367891,0.409632113839495,0.280757122842342,0.0161226084098674
30,1,"orthogonal","bent",0.6,"gcomp",0.0229008111290964,0.00691688376983828,0.219817844941527,0.934,0.218731070233408,0.205830032351044,0.409632113839495,0.280757122842342,0.0161226084098674
30,1,"orthogonal","bent",0.6,"trimmed_vs_restricted",-0.00187210120888367,0.00312976030059351,0.0989399257255043,0.935,0.0989717108024873,0.093679745964672,0.409632113839495,0.280757122842342,0.0161226084098674
