"cell","gamma","imbalance","mu1_t","method","bias","mcse","rmse","location_error","loc_mcse","region_includes"
7,0.5,0.3,0.5,"dr_both_wrong",0.349006614100614,0.00188346477036981,0.359022211470101,0.199006614100614,0.00188346477036981,0.2855
8,1,0.3,0.5,"maic_wrong",0.50117620213481,0.0020533619462264,0.509515416700428,0.20117620213481,0.0020533619462264,0.0155
8,1,0.3,0.5,"maic_right",0.302333254819737,0.00180249227005386,0.312889924348357,0.00233325481973735,0.00180249227005386,0.4885
8,1,0.3,0.5,"or_wrong",0.403306139131011,0.00205454637068926,0.413635035119848,0.103306139131011,0.00205454637068926,0.1315
8,1,0.3,0.5,"or_right",0.301336727892773,0.00172188835971519,0.311015526500278,0.00133672789277257,0.00172188835971519,0.503
8,1,0.3,0.5,"dr_both_right",0.30233436587801,0.00180248284593164,0.312890889394697,0.00233436587801048,0.00180248284593164,0.4885
8,1,0.3,0.5,"dr_w_wrong",0.300912974716452,0.00174791148047647,0.310895404027341,0.000912974716452304,0.00174791148047647,0.5075
8,1,0.3,0.5,"dr_o_wrong",0.302334568545728,0.00180248205264484,0.31289107608942,0.00233456854572842,0.00180248205264484,0.4885
8,1,0.3,0.5,"dr_both_wrong",0.501172896870326,0.00205335424733437,0.509512103510624,0.201172896870326,0.00205335424733437,0.0155
9,0,0.1,1,"maic_wrong",0.183624033958533,0.00283414503299873,0.223102016138984,0.183624033958533,0.00283414503299873,0.7565
9,0,0.1,1,"maic_right",-0.00193202337772482,0.00204560449673204,0.0914797449202595,-0.00193202337772482,0.00204560449673204,0.4855
9,0,0.1,1,"or_wrong",-0.197545137695312,0.00247350047982663,0.226394285417811,-0.197545137695312,0.00247350047982663,0.033
9,0,0.1,1,"or_right",-0.0012784900978975,0.00193735916026479,0.086629107164615,-0.0012784900978975,0.00193735916026479,0.4835
9,0,0.1,1,"dr_both_right",-0.00193102878775988,0.00204562422191354,0.0914806056401063,-0.00193102878775988,0.00204562422191354,0.4855
9,0,0.1,1,"dr_w_wrong",-0.00277742022964936,0.00202917093636091,0.0907670970472599,-0.00277742022964936,0.00202917093636091,0.4745
9,0,0.1,1,"dr_o_wrong",-0.0019314914524547,0.00204561474941687,0.0914801919848858,-0.0019314914524547,0.00204561474941687,0.4855
9,0,0.1,1,"dr_both_wrong",0.183623842967243,0.00283411493448926,0.22310109462391,0.183623842967243,0.00283411493448926,0.7565
10,0.25,0.1,1,"maic_wrong",0.211047520388449,0.00292627116211767,0.248311535430156,0.186047520388449,0.00292627116211767,0.7035
10,0.25,0.1,1,"maic_right",0.0256358860978746,0.00213932859322302,0.0990256309687377,0.000635886097874654,0.00213932859322302,0.6155
10,0.25,0.1,1,"or_wrong",-0.17169262062193,0.00266717594438236,0.209042811847458,-0.19669262062193,0.00266717594438236,0.074
10,0.25,0.1,1,"or_right",0.0262991884263574,0.0019989031924526,0.0931605047405103,0.00129918842635749,0.0019989031924526,0.621
10,0.25,0.1,1,"dr_both_right",0.0256368900353178,0.00213935158573841,0.0990268838259517,0.000636890035317866,0.00213935158573841,0.6155
10,0.25,0.1,1,"dr_w_wrong",0.0268506680219179,0.00214272462577053,0.0994932397108883,0.00185066802191799,0.00214272462577053,0.6195
10,0.25,0.1,1,"dr_o_wrong",0.025636599040782,0.00213933887611317,0.0990262596145552,0.000636599040782071,0.00213933887611317,0.6155
10,0.25,0.1,1,"dr_both_wrong",0.211048653160857,0.002926322744558,0.248313713368476,0.186048653160857,0.002926322744558,0.7035
11,0.5,0.1,1,"maic_wrong",0.230533034441821,0.00297048039734475,0.266052934201413,0.180533034441821,0.00297048039734475,0.6775
11,0.5,0.1,1,"maic_right",0.0484440959215056,0.00217824269742537,0.108773012214322,-0.00155590407849436,0.00217824269742537,0.684
11,0.5,0.1,1,"or_wrong",-0.150805817350655,0.00267149964142764,0.192377437098951,-0.200805817350655,0.00267149964142764,0.0965
11,0.5,0.1,1,"or_right",0.0488040252882273,0.00204658861770563,0.103704842218713,-0.00119597471177274,0.00204658861770563,0.696
11,0.5,0.1,1,"dr_both_right",0.0484446141170464,0.00217825491887649,0.108773732241186,-0.00155538588295366,0.00217825491887649,0.684
11,0.5,0.1,1,"dr_w_wrong",0.0481755207837231,0.00219111375932661,0.109169770705527,-0.00182447921627694,0.00219111375932661,0.6875
11,0.5,0.1,1,"dr_o_wrong",0.0484441988374066,0.00217824816153822,0.108773276784485,-0.00155580116259347,0.00217824816153822,0.684
11,0.5,0.1,1,"dr_both_wrong",0.230534250760407,0.00297047260950146,0.266053814319087,0.180534250760407,0.00297047260950146,0.6775
12,1,0.1,1,"maic_wrong",0.28526449013833,0.00294216183648541,0.314133420001361,0.18526449013833,0.00294216183648541,0.5395
12,1,0.1,1,"maic_right",0.0987046332450167,0.00230794208059058,0.142795207630044,-0.00129536675498339,0.00230794208059058,0.8105
12,1,0.1,1,"or_wrong",-0.099055213257212,0.0026787468994468,0.155422422742255,-0.199055213257212,0.0026787468994468,0.199
12,1,0.1,1,"or_right",0.0984657988010445,0.0021363620522977,0.137182488414902,-0.00153420119895553,0.0021363620522977,0.829
12,1,0.1,1,"dr_both_right",0.0987056383820995,0.00230796537690007,0.142796655094494,-0.00129436161790065,0.00230796537690007,0.8105
12,1,0.1,1,"dr_w_wrong",0.0985993540790998,0.00227612423845773,0.14169733582907,-0.00140064592090031,0.00227612423845773,0.8155
12,1,0.1,1,"dr_o_wrong",0.0987055103305014,0.00230793913373412,0.142795718691432,-0.00129448966949871,0.00230793913373412,0.8105
12,1,0.1,1,"dr_both_wrong",0.285264824753836,0.00294216164730531,0.314133720323729,0.185264824753836,0.00294216164730531,0.5395
13,0,0.3,1,"maic_wrong",0.183261255739157,0.00284747018085962,0.223142897333595,0.183261255739157,0.00284747018085962,0.755
13,0,0.3,1,"maic_right",-0.00100457102294835,0.00203349546158849,0.0909234933543021,-0.00100457102294835,0.00203349546158849,0.506
13,0,0.3,1,"or_wrong",-0.196848586949263,0.00260916001888404,0.22881868471828,-0.196848586949263,0.00260916001888404,0.0425
13,0,0.3,1,"or_right",0.000532687626101906,0.00192302277866706,0.0859803405090054,0.000532687626101906,0.00192302277866706,0.52
13,0,0.3,1,"dr_both_right",-0.00100573814551662,0.00203348435562627,0.0909230097376145,-0.00100573814551662,0.00203348435562627,0.506
13,0,0.3,1,"dr_w_wrong",0.000953623785000115,0.00206415188453527,0.0922935245842408,0.000953623785000115,0.00206415188453527,0.51
13,0,0.3,1,"dr_o_wrong",-0.00100465127404083,0.00203349147276955,0.0909233159110775,-0.00100465127404083,0.00203349147276955,0.506
13,0,0.3,1,"dr_both_wrong",0.183260488522389,0.00284748287872646,0.223142591147456,0.183260488522389,0.00284748287872646,0.755
14,0.25,0.3,1,"maic_wrong",0.25608195239027,0.00277789746405689,0.284611451398778,0.18108195239027,0.00277789746405689,0.631
14,0.25,0.3,1,"maic_right",0.0773227680040265,0.00209886666825522,0.121593123953367,0.00232276800402654,0.00209886666825522,0.783
14,0.25,0.3,1,"or_wrong",-0.124130957810678,0.00261525645088528,0.170530899629617,-0.199130957810678,0.00261525645088528,0.1435
14,0.25,0.3,1,"or_right",0.0760665103470894,0.00195778304170255,0.1159659862145,0.00106651034708947,0.00195778304170255,0.807
14,0.25,0.3,1,"dr_both_right",0.0773220755647609,0.00209884584822668,0.121591965215571,0.00232207556476091,0.00209884584822668,0.783
14,0.25,0.3,1,"dr_w_wrong",0.0751793641908164,0.00208193069237978,0.119651465433873,0.000179364190816475,0.00208193069237978,0.7825
14,0.25,0.3,1,"dr_o_wrong",0.0773226594950224,0.00209886677093717,0.1215930584941,0.00232265949502244,0.00209886677093717,0.783
14,0.25,0.3,1,"dr_both_wrong",0.256083487149028,0.00277788283407366,0.284612546872145,0.181083487149028,0.00277788283407366,0.631
15,0.5,0.3,1,"maic_wrong",0.329481207442817,0.00294043693571092,0.354741537791093,0.179481207442817,0.00294043693571092,0.407
15,0.5,0.3,1,"maic_right",0.147581544376558,0.00219123621617671,0.177139896789469,-0.00241845562344228,0.00219123621617671,0.881
15,0.5,0.3,1,"or_wrong",-0.0545112040408969,0.00260724915260313,0.128686323691929,-0.204511204040897,0.00260724915260313,0.328
15,0.5,0.3,1,"or_right",0.147763125139199,0.00203326685590403,0.1734881989976,-0.00223687486080129,0.00203326685590404,0.9
15,0.5,0.3,1,"dr_both_right",0.14758181719232,0.00219124698022276,0.177140390253408,-0.00241818280768004,0.00219124698022276,0.881
15,0.5,0.3,1,"dr_w_wrong",0.148825159759057,0.00215678781394037,0.177335117200056,-0.00117484024094339,0.00215678781394037,0.882
15,0.5,0.3,1,"dr_o_wrong",0.14758203228396,0.00219124137614805,0.177140430877261,-0.00241796771603985,0.00219124137614805,0.881
15,0.5,0.3,1,"dr_both_wrong",0.329479294286902,0.00294039472639407,0.3547390614757,0.179479294286902,0.00294039472639407,0.407
16,1,0.3,1,"maic_wrong",0.481061268174305,0.00307226374070026,0.50028803095599,0.181061268174305,0.00307226374070026,0.0835
16,1,0.3,1,"maic_right",0.29780213136452,0.0023338236689712,0.315553685682854,-0.00219786863547993,0.0023338236689712,0.509
16,1,0.3,1,"or_wrong",0.100868414596168,0.0027154614195743,0.157843355181066,-0.199131585403832,0.0027154614195743,0.7435
16,1,0.3,1,"or_right",0.297322990608738,0.00219325256146391,0.313076450702478,-0.00267700939126217,0.00219325256146391,0.52
16,1,0.3,1,"dr_both_right",0.29780372166001,0.00233387942115058,0.315556010791018,-0.00219627833998933,0.00233387942115058,0.509
16,1,0.3,1,"dr_w_wrong",0.297697979978834,0.00235210785423151,0.315726745126218,-0.00230202002116548,0.00235210785423151,0.5015
16,1,0.3,1,"dr_o_wrong",0.297803267952045,0.00233383858708768,0.315554978888824,-0.00219673204795451,0.00233383858708768,0.509
16,1,0.3,1,"dr_both_wrong",0.481061911448082,0.00307222285714952,0.500288147631725,0.181061911448083,0.00307222285714952,0.0835
