"cell","shift","prev","em","align","trim","n_ok","bias_target","bias_induced","mcse","emp_sd","gap","se_fixed","se_ess","se_stack","se_stack_hc1","cov_se_fixed","cov_se_ess","cov_se_stack","cov_se_stack_hc1","ratio_stack_fixed","ratio_mcse","ess"
37,0.2,0.1,0.5,"positive","p99",1000,0.00443475342841203,0.00470732254635973,0.0104552618417692,0.330624409534377,-0.000272569117947707,0.336490851806798,0.305171225250833,NA,NA,0.949,0.931,NA,NA,NA,NA,354.097590274762
38,0.5,0.1,0.5,"positive","p99",1000,-0.00899155606012603,0.000848417681944199,0.0130687853825572,0.413271280607956,-0.00983997374207024,0.403065264368792,0.348838936238609,NA,NA,0.944,0.91,NA,NA,NA,NA,210.162882271968
39,0.8,0.1,0.5,"positive","p99",1000,-0.057308889400945,-0.0310089472494938,0.0170438470151895,0.538973766594611,-0.0262999421514511,0.510255319544551,0.460949029496191,NA,NA,0.929,0.917,NA,NA,NA,NA,102.063540040639
40,0.2,0.3,0.5,"positive","p99",1000,0.000455777431831572,-0.000310761351216537,0.00755618200036662,0.238947455359258,0.00076653878304811,0.233372961780135,0.22405172662625,NA,NA,0.952,0.945,NA,NA,NA,NA,354.337967344049
41,0.5,0.3,0.5,"positive","p99",1000,-0.0113584460483626,-0.0072333127783125,0.00903418537728037,0.285686025963935,-0.00412513327005007,0.287142910576702,0.279691260491963,NA,NA,0.955,0.95,NA,NA,NA,NA,209.961029483036
42,0.8,0.3,0.5,"positive","p99",1000,-0.0103864295073669,0.00404203525693994,0.0130900534752384,0.413943836751558,-0.0144284647643068,0.392023548223272,0.407775503140299,NA,NA,0.932,0.945,NA,NA,NA,NA,100.560148188235
43,0.2,0.1,1,"positive","p99",1000,0.009917049532428,0.00713546975433987,0.0100405372425606,0.317509666182379,0.00278157977808813,0.317518563386925,0.289075185208658,NA,NA,0.951,0.933,NA,NA,NA,NA,354.067492202619
44,0.5,0.1,1,"positive","p99",1000,-0.0196920052519275,-0.0157928067447448,0.0122836252409194,0.388442336852398,-0.00389919850718268,0.378560496498056,0.331318156397222,NA,NA,0.941,0.903,NA,NA,NA,NA,209.813687008573
45,0.8,0.1,1,"positive","p99",1000,0.00164749392318496,0.0177315776913277,0.016039690004131,0.507219533760896,-0.0160840837681427,0.482238026562242,0.442651407194078,NA,NA,0.949,0.932,NA,NA,NA,NA,101.947906630066
46,0.2,0.3,1,"positive","p99",1000,-0.00684312117527074,-0.00964904005717047,0.00726117102790692,0.229618389282119,0.00280591888189974,0.229411581931068,0.221070691661753,NA,NA,0.956,0.944,NA,NA,NA,NA,353.516031767395
47,0.5,0.3,1,"positive","p99",1000,0.0143706189765727,0.0155184316486358,0.00894837771063912,0.282972549291028,-0.00114781267206313,0.281849861870752,0.278443660293403,NA,NA,0.956,0.955,NA,NA,NA,NA,209.478939428759
48,0.8,0.3,1,"positive","p99",1000,0.00886699441443191,0.0198851870650758,0.0126021256553759,0.398514204306301,-0.0110181926506439,0.384090478554694,0.410609584008914,NA,NA,0.941,0.957,NA,NA,NA,NA,100.660949170422
49,0.2,0.1,0.5,"negative","p99",1000,-0.0104874397720095,-0.0101826857404349,0.0116323423034245,0.367846962015508,-0.000304754031574594,0.366874729377745,0.34167709424146,NA,NA,0.962,0.949,NA,NA,NA,NA,354.379737003543
50,0.5,0.1,0.5,"negative","p99",1000,-0.00740535499669599,-0.0154913384206901,0.0147586866254428,0.466710650090636,0.00808598342399414,0.4469894948569,0.401348523351082,NA,NA,0.944,0.925,NA,NA,NA,NA,211.419896485845
51,0.8,0.1,0.5,"negative","p99",1000,0.0151322297357762,-0.0111200010113623,0.0197601015380557,0.624869276564524,0.0262522307471386,0.573256029990103,0.542761510746162,NA,NA,0.919,0.917,NA,NA,NA,NA,102.128769143527
52,0.2,0.3,0.5,"negative","p99",1000,0.00469675389602805,0.00665592946054069,0.00759266847385157,0.240101258959256,-0.00195917556451264,0.239739087740096,0.231541121591664,NA,NA,0.958,0.944,NA,NA,NA,NA,353.694862809451
53,0.5,0.3,0.5,"negative","p99",1000,-0.0164544498103442,-0.0172035714122161,0.00938228278504558,0.29669383252532,0.000749121601871905,0.300210970962859,0.289893468660601,NA,NA,0.955,0.952,NA,NA,NA,NA,209.928416783722
54,0.8,0.3,0.5,"negative","p99",1000,-0.00573425855877662,-0.0160495647235137,0.0130764743149917,0.41351442600064,0.0103153061647371,0.410783981896196,0.414055500346124,NA,NA,0.952,0.959,NA,NA,NA,NA,101.591149659182
55,0.2,0.1,1,"negative","p99",1000,0.00534753262199095,0.00366725702458901,0.0118672615445995,0.375275760698622,0.00168027559740191,0.357609313945397,0.340015790190311,NA,NA,0.941,0.932,NA,NA,NA,NA,354.323265395334
56,0.5,0.1,1,"negative","p99",1000,-0.0106627135607664,-0.0358894429360949,0.0144959802555601,0.458403145243998,0.0252267293753285,0.440955288477842,0.416928583330443,NA,NA,0.944,0.935,NA,NA,NA,NA,209.484056086305
57,0.8,0.1,1,"negative","p99",1000,0.0098022011326864,-0.0677837663729567,0.021185161024538,0.669933614349665,0.0775859675056432,0.578955053472334,0.59266546936565,NA,NA,0.9,0.934,NA,NA,NA,NA,100.632403072715
58,0.2,0.3,1,"negative","p99",1000,0.00972241143016286,0.0113907886591603,0.00776370130182437,0.245509791869794,-0.00166837722899749,0.238714268588162,0.233277756006117,NA,NA,0.943,0.936,NA,NA,NA,NA,354.270782447454
59,0.5,0.3,1,"negative","p99",1000,0.00680974508571905,-0.00483614287365533,0.00940233032295783,0.297327791338133,0.0116458879593744,0.301105740996965,0.295615134154309,NA,NA,0.957,0.958,NA,NA,NA,NA,210.064025319393
60,0.8,0.3,1,"negative","p99",1000,0.0236675144943685,-0.0238478841165286,0.0136644050579208,0.432106428541548,0.0475153986108972,0.421440206859168,0.42843391224165,NA,NA,0.931,0.942,NA,NA,NA,NA,100.565062781354
61,0.2,0.1,0,"positive","p95",1000,-0.0166162136346371,-0.0124718473281407,0.0116009327472864,0.366853704638597,-0.00414436630649639,0.351847873623442,0.325960676274305,NA,NA,0.946,0.924,NA,NA,NA,NA,359.814007951778
62,0.5,0.1,0,"positive","p95",1000,-0.0431925960257733,-0.0295349496862949,0.0133947019765149,0.423577668249462,-0.0136576463394784,0.399855580518861,0.358800289624147,NA,NA,0.944,0.915,NA,NA,NA,NA,241.926581758358
63,0.8,0.1,0,"positive","p95",1000,-0.0503438845880976,-0.0253636951790213,0.0158338386610661,0.500709942725996,-0.0249801894090763,0.46867336362752,0.430055264537315,NA,NA,0.944,0.92,NA,NA,NA,NA,148.617210432009
64,0.2,0.3,0,"positive","p95",1000,-0.0169602893481516,-0.0132510571687906,0.00766964737455223,0.242535545539156,-0.00370923217936103,0.23545940161085,0.227055026010591,NA,NA,0.934,0.928,NA,NA,NA,NA,360.084613052385
65,0.5,0.3,0,"positive","p95",1000,-0.0230139088591228,-0.0112777535963091,0.00848730043939943,0.268392005746501,-0.0117361552628137,0.274870038221999,0.265617782838833,NA,NA,0.955,0.95,NA,NA,NA,NA,242.031829609306
66,0.8,0.3,0,"positive","p95",1000,-0.0491000356830645,-0.0287896967957581,0.0106645633019612,0.337243102852433,-0.0203103388873064,0.339627144830882,0.337142959462062,NA,NA,0.948,0.949,NA,NA,NA,NA,147.774849343521
