"cell","ratio","het","K","method","n","bias","coverage","cov_mcse","width","se_ratio","tau_shared","tau1","tau2"
12,2,"bridging",12,"shared_hk",2000,-0.000498902616875699,0.9675,0.00396508196636589,0.326354580597192,1.08679053266975,0.0653218856250092,0.0830684465507306,0.0483507850541587
12,2,"bridging",12,"shrunk",2000,-0.00053473799799044,0.9515,0.00480352734977121,0.297523532072328,1.04783929105892,0.0653218856250092,0.0830684465507306,0.0483507850541587
12,2,"bridging",12,"stratified",2000,-0.000562082924759112,0.9505,0.0048502448391808,0.298963567808191,1.05197928265229,0.0653218856250092,0.0830684465507306,0.0483507850541587
12,2,"bridging",12,"stratified_hk",2000,-0.000562082924759112,0.9665,0.00402354010791492,0.321821636520073,1.07023230969429,0.0653218856250092,0.0830684465507306,0.0483507850541587
13,5,"bridging",12,"shared_hk",2000,-0.00213745907560418,0.957,0.00453602248671675,0.455827905191973,1.08340538111125,0.16660226365712,0.232156511019955,0.0499341447944144
13,5,"bridging",12,"shrunk",2000,-0.00191887741901355,0.934,0.0055517564788092,0.391332332266335,0.989123276673228,0.16660226365712,0.232156511019955,0.0499341447944144
13,5,"bridging",12,"stratified",2000,-0.00181738153261416,0.9355,0.00549271107923947,0.391583921125286,0.991054676711985,0.16660226365712,0.232156511019955,0.0499341447944144
13,5,"bridging",12,"stratified_hk",2000,-0.00181738153261416,0.948,0.00496467521596328,0.419871795582867,1.00429977731275,0.16660226365712,0.232156511019955,0.0499341447944144
13,5,"bridging",12,"shared",2000,-0.00213745907560418,0.93,0.00570526073023836,0.387258011744874,0.973904990993559,0.16660226365712,0.232156511019955,0.0499341447944144
14,2,"other",12,"shared",2000,0.00113197669535582,0.9415,0.0052477495176504,0.293096443404679,0.984944567258695,0.0672674374741157,0.051692964365069,0.082305735968158
14,2,"other",12,"shared_hk",2000,0.00113197669535582,0.961,0.00432891441356837,0.326895927579637,1.03820866788669,0.0672674374741157,0.051692964365069,0.082305735968158
14,2,"other",12,"shrunk",2000,0.00121530884196584,0.9465,0.00503178646208283,0.298053243575475,1.00247777417518,0.0672674374741157,0.051692964365069,0.082305735968158
14,2,"other",12,"stratified",2000,0.00125714229705908,0.945,0.00509779364038993,0.299391965546681,1.00678026271083,0.0672674374741157,0.051692964365069,0.082305735968158
14,2,"other",12,"stratified_hk",2000,0.00125714229705908,0.9605,0.00435544199823623,0.32245862423289,1.02480786025671,0.0672674374741157,0.051692964365069,0.082305735968158
15,5,"other",12,"shared",2000,0.00316934552207243,0.9325,0.00560997994648822,0.389383765203299,0.984258210421894,0.168250301851565,0.0509221456067076,0.236270024225781
15,5,"other",12,"shared_hk",2000,0.00316934552207243,0.9645,0.00413761706783023,0.459110451968025,1.09678697799886,0.168250301851565,0.0509221456067076,0.236270024225781
15,5,"other",12,"shrunk",2000,0.00301187802206954,0.9415,0.0052477495176504,0.393969938193694,0.998976666596764,0.168250301851565,0.0509221456067076,0.236270024225781
15,5,"other",12,"stratified",2000,0.00299869650792765,0.943,0.00518415856238985,0.394411470465567,0.998742038524511,0.168250301851565,0.0509221456067076,0.236270024225781
