"cell","departure","m","law","method","n","bias","mcse","rmse","coverage"
11,"interaction",1.2,"normal","stc_linear",2000,0.119201494964091,0.00721791772784229,0.344025537885124,0.9365
11,"interaction",1.2,"normal","maic_means_sds",2000,-0.0029869496116733,0.012418575254102,0.555244742019437,0.923
11,"interaction",1.2,"normal","unadjusted",2000,0.765148527665567,0.00553402789836034,0.804159544794232,0.115
11,"interaction",1.2,"normal","stc_flexible",2000,-0.0209073725010927,0.00878566664266995,0.393364725158206,0.954
12,"quadratic",1.2,"normal","maic_means",2000,-0.0498935924379139,0.0119345052448942,0.535921420575567,0.9265
12,"quadratic",1.2,"normal","stc_flexible",2000,-0.0396285362113778,0.00875887082682857,0.393610644401587,0.958
12,"quadratic",1.2,"normal","maic_means_sds",2000,-0.0720219435219674,0.0126467687499649,0.570007665930068,0.918
12,"quadratic",1.2,"normal","unadjusted",2000,0.683907913012937,0.00521591038077362,0.722574750431493,0.173
12,"quadratic",1.2,"normal","stc_linear",2000,0.0958903152594063,0.00719721196846072,0.335772055028911,0.939
13,"linear",0.3,"skewed","stc_linear",2000,-0.0608330875549192,0.00559638433650919,0.25750413648653,0.942
13,"linear",0.3,"skewed","stc_flexible",2000,-0.0603883264457982,0.00570684766368203,0.262202979337791,0.9425
13,"linear",0.3,"skewed","maic_means_sds",2000,-0.0197347248325713,0.00585322133178225,0.262441610804994,0.9505
13,"linear",0.3,"skewed","unadjusted",2000,0.132970253854791,0.00554499930401324,0.281326102514396,0.91
13,"linear",0.3,"skewed","maic_means",2000,-0.0199892573245642,0.00576692336469635,0.258613849574718,0.951
14,"linear",0.8,"skewed","maic_means",2000,0.02357967530527,0.00731559557772206,0.32793042015406,0.939
14,"linear",0.8,"skewed","stc_linear",2000,-0.0551490468896058,0.00648521747624722,0.295153266550723,0.9465
14,"linear",0.8,"skewed","stc_flexible",2000,-0.0560082465894117,0.00712529897667592,0.323459309364487,0.9415
14,"linear",0.8,"skewed","maic_means_sds",2000,-0.0302405481595687,0.00769809836030471,0.345509286075611,0.9475
14,"linear",0.8,"skewed","unadjusted",2000,0.374735178888043,0.00547124334502077,0.447510365548533,0.649
15,"linear",1.2,"skewed","maic_means",2000,0.107372498350164,0.0100803238285009,0.463306699118796,0.921
15,"linear",1.2,"skewed","stc_linear",2000,-0.0276847786430325,0.00752873729207183,0.33774773945856,0.9555
15,"linear",1.2,"skewed","stc_flexible",2000,-0.0179038256946271,0.00932830784520273,0.417454409674865,0.9465
15,"linear",1.2,"skewed","maic_means_sds",2000,-0.0154603377859848,0.0107661736558552,0.481605753625648,0.942
15,"linear",1.2,"skewed","unadjusted",2000,0.589198693666707,0.00542380535492532,0.63715069803796,0.3115
16,"none",0.8,"normal","maic_means",2000,0.00711774012666695,0.00777375316323123,0.34763876002535,0.951
16,"none",0.8,"normal","stc_linear",2000,0.000169709168054159,0.00655416786408846,0.293038059756938,0.9525
16,"none",0.8,"normal","stc_flexible",2000,0.00649125990561038,0.00725802586936245,0.324572544366141,0.9535
16,"none",0.8,"normal","maic_means_sds",2000,0.00670195671276586,0.00790359821449284,0.35343482968054,0.9515
16,"none",0.8,"normal","unadjusted",2000,0.0126759259877084,0.00541575204738027,0.242470800730344,0.951
